"","rile_mrg","partyname"
"1",-10.213,"Group of the Greens/European Free Alliance"
"2",-9.04,"European Green Party"
"3",-20.657,"Party of the European Left"
"4",-11.111,"Party of European Socialists"
"5",16.193,"Alliance of Liberals and Democrats for Europe Party"
"6",39.316,"European Christian Political Movement"
"7",11.364,"European People's Party"
"8",20.561,"European Conservatives and Reformists Party"
"9",-23.418,"Democracy in Europe Movement 2025"
"10",-10.952,"Volt"
"11",-16.635,"European Pirate Party"
"12",5.51,"Liberalerna"
"13",0.359,"Miljöpartiet de Gröna"
"14",-13.514,"Vänsterpartiet"
"15",-12.5,"Socialdemokraterna"
"16",13.347,"Kristdemokraterna"
"17",16.034,"Moderaterna"
"18",5.3,"Sverigedemokraterna"
"19",10.536,"Centerpartiet"
"20",4.592,"Feministiskt Initiativ"
"21",-22.802,"Enhedslisten, de Rød-Grønne"
"22",6.931,"Socialistisk Folkeparti "
"23",-12.209,"Socialdemokratiet"
"24",-0.641,"Radikale Venstre"
"25",1.992,"Venstre - Danmarks Liberale Parti "
"26",7.592,"Det Konservative Folkeparti"
"27",22.951,"Dansk Folkeparti"
"28",-11.034,"Folkebevægelsen mod EU"
"29",-10.843,"Vihreä liitto  "
"30",-4.16,"Vasemmistoliitto "
"31",-6.173,"Suomen Sosialidemokraattinen Puolue/Finlands Socialdemokratiska Parti"
"32",6.135,"Kansallinen Kokoomus"
"33",2.734,"Perussuomalaiset"
"34",13.7,"Suomen Keskusta"
"35",15.287,"Ruotsalainen Kansanpuolue - Svenska Folkpartiet I Finland"
"36",-11.924,"Ecologistes Confédérés pour l'Organisation de Luttes Originales"
"37",-22.807,"Groen"
"38",-38.978,"Parti du Travail de Belgique – Partij van de Arbeid van België"
"39",-23.031,"Socialistische Partij - Anders"
"40",-21.999,"Parti Socialiste"
"41",-9.375,"Open Vlaamse Liberalen en Democraten"
"42",-2.646,"Mouvement Réformateur"
"43",-13.344,"Christlich Soziale Partei"
"44",-16,"Christen-Democratisch & Vlaams"
"45",-13.285,"Centre Démocrate Humaniste"
"46",-2.062,"Nieuw-Vlaamse Alliantie"
"47",-6.061,"Vlaams Belang"
"48",-9.266,"GroenLinks"
"49",-4.693,"Partij voor de Dieren "
"50",-9.427,"Socialistische Partij "
"51",5.6,"ChristenUnie - Staatkundig Gereformeerde Partij"
"52",-0.444,"Partij van de Arbeid"
"53",-2.711,"Democraten 66 "
"54",19.806,"Volkspartij voor Vrijheid en Democratie "
"55",-0.551,"Christen Democratisch Appèl "
"56",3.333,"Forum voor Democratie"
"57",3.226,"Partij voor de Vrijheid "
"58",-0.362,"50Plus"
"59",-11.843,"Déi Gréng/Les Verts"
"60",-18.605,"Lëtzebuerger Sozialistesch Aarbechterpartei/Parti ouvrier socialiste luxembourgeois"
"61",-9.446,"Demokratesch Partei/Parti démocratique"
"62",1.961,"Chrëschtlech-Sozial Vollekspartei/Parti populaire chrétien-social"
"63",-11.321,"Europe écologie-Les verts"
"64",-16.633,"France insoumise"
"65",-17.01,"Coalition Envie d'Europe écologique et sociale "
"66",-5.686,"Coalition Renaissance "
"67",2.632,"Les Républicains "
"68",-1.036,"Rassemblement national"
"69",-29.787,"Movimento 5 Stelle "
"70",-18.966,"Coal La Sinistra"
"71",-11.828,"Partito Democratico "
"72",7.524,"Coalition +Europa"
"73",23.786,"Forza Italia "
"74",-14.241,"Fratelli d'Italia"
"75",-20.69,"Lega Salvini Premier"
"76",-8.696,"Südtiroler Volkspartei "
"77",-18.315,"Coalition Unidas Podemos Cambiar Europa"
"78",-12.694,"Partido Socialista Obrero Español + Partido de los Socialistas de Cataluña"
"79",-7.027,"Ciudadanos - Partido de la Ciudadanía"
"80",-6.516,"Partido Popular"
"81",8.464,"VOX"
"82",-26.715,"Coalition Ahora Repúblicas"
"83",-12.95,"Coalition por una Europa Solidaria"
"84",-23.81,"Coal LLIURES PER EUROPA (JUNTS)"
"85",6.383,"Kommounistiko Komma Ellados "
"86",-12.346,"Synaspismos Rizospastikis Aristeras "
"87",-4.255,"Kínima Allagís"
"88",28.889,"Anexartitoi Ellines"
"89",12.121,"To Potami"
"90",5.534,"Nea Dimokratia"
"91",72.414,"Chrysi Avgi"
"92",-3.478,"Elliniki Lysi"
"93",-12.67,"Pessoas–Animais–Natureza"
"94",-11.859,"Bloco do Esquerda "
"95",-25.743,"Coligaçao Democratica Unitaria "
"96",-14.943,"Partido Socialista Portuguêsa "
"97",9.911,"CDS - Partido Popular"
"98",-0.268,"Partido Social Democrata "
"99",-18.857,"Alianca"
"100",-21.849,"Anorthotiko Komma Ergazomenou Laou"
"101",-38.889,"Kinima Sosialdimokraton"
"102",-4.167,"Dimokratikó Kómma"
"103",-11.765,"Dimokratikos Synagermos"
"104",-22.222,"Partit Laburista "
"105",-24.02,"Partit Nazzjonalista "
"106",-10.182,"Ökologisch-Demokratische Partei "
"107",-13.306,"Bündnis 90/Die Grünen"
"108",-19.092,"Die Linke"
"109",-14.355,"Sozialdemokratische Partei Deutschlands "
"110",4.553,"Freie Demokratische Partei"
"111",8.149,"Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V."
"112",17.625,"Nationaldemokratische Partei Deutschlands "
"113",-3.854,"Freie Wähler"
"114",14.646,"Alternative für Deutschland"
"115",-12.549,"Piratenpartei Deutschland "
"116",0.337,"Familien-Partei Deutschlands"
"117",-6.667,"Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative"
"118",-4.539,"Partei Mensch Umwelt Tierschutz"
"119",-15.021,"Volt"
"120",-20.872,"Die Grünen "
"121",-28.392,"Sozialdemokratische Partei Österreichs "
"122",3.158,"Freiheitliche Partei Österreichs "
"123",-0.875,"NEOS Das Neue Österreich und Liberales Forum "
"124",12.01,"Österreichische Volkspartei "
"125",-9.462,"Green Party"
"126",-12.319,"Labour Party"
"127",-1.02,"Alliance Party"
"128",3.723,"Liberal Democrats"
"129",17.143,"Conservative and Unionist Party"
"130",0,"Brexit Party"
"131",-4.681,"Plaid Cymru - Party of Wales"
"132",-8.118,"Scottish National Party"
"133",12.299,"Democratic Unionist Party"
"134",8.73,"Ulster Unionist Party"
"135",28.571,"United Kingdom Independence Party"
"136",-16.071,"Sinn Féin"
"137",1.613,"Independent Luke Ming Flanagan"
"138",-24.051,"Green Party - Comahoantas Glass "
"139",-11.765,"Social Democrats"
"140",8.571,"Independents 4 Change"
"141",-22.626,"Irish Labour Party - Páirtí an Lucht Oibre "
"142",-9.899,"Gaelic Nation - Fine Gael "
"143",-9.455,"Soldiers of Destiny - Fianna Fáil "
"144",-21.509,"We Ourselves - Sinn Féin "
"145",-11.65,"Balgarska Socialisticheska Partija "
"146",-13.333,"Dvizhenie za Prava i Swobodi "
"147",-31.111,"Reload Bulgaria"
"148",13.043,"Demokratichna Bulgaria"
"149",-7.121,"Grazhdani za Evropejsko Razvitie na Bulgaria "
"150",7,"Balgarija bes Zensura + Bulgarsko Natsionalno Dvizhenie + Zemedelski Naroden Sajuz + Dvizhenie Gergyovden "
"151",-10,"Ataka"
"152",-10.714,"ŽIVI ZID"
"153",7.143,"Mislav Kolakušić"
"154",-18.48,"Socijaldemokratska partija Hrvatske"
"155",8.44,"Hrvatska narodna stranka"
"156",-21.053,"START "
"157",-8.414,"Coal AMS"
"158",-2.632,"Hrvatska demokratska zajednica"
"159",-8.824,"Most nezavisnih lista"
"160",60.87,"Coal Hrv. Suverenisti"
"161",-29.323,"Komunistická strana Čech a Moravy"
"162",0.562,"Česká strana sociálně demokratická"
"163",-12.789,"Česká pirátská strana"
"164",5,"Občanská demokratická strana"
"165",1.531,"ANO 2011"
"166",6.78,"Strana svobodných občanů"
"167",5.093,"Křesťanská a demokratická unie – Československá strana lidová"
