Title;Number of votes in favour;Abstained;Objected;Subtitle;CELEX number;Initiating document;Procedure reference;Initial reference;Adopted acts;Latest consolidated version;Procedure status;EUROVOC descriptor;ECLI identifier;Subject matter;Directory code;Case-Law directory code (before Lisbon);Case-Law directory code (after Lisbon);Related document(s);Transposed legal act(s);Modified by;Rapporteur;Co author;Responsible body;Internal comment;Political group;Additional information;Date of document;Author;Document number;Date of effect;Date of debate;Date of vote;In force indicator;Number of the Official Journal;Number of pages;Publication Reference;;;;;;;;;;
Regulation (EU) 2023/2844 of the European Parliament and of the Council of 13 December 2023 on the digitalisation of judicial cooperation and access to justice in cross-border civil,  commercial and criminal matters, and amending certain acts in the field of judicial cooperation;78;0;2;PE/50/2023/REV/1;32023R2844;;;;;;;decentralised cooperation, exchange of information, telecommunications, cross-border cooperation, judicial cooperation in civil matters in the EU, judicial cooperation in criminal matters in the EU, digitisation, electronic government, information system, access to the courts;;Judicial cooperation in civil matters, Judicial cooperation in criminal matters;Area of freedom, security and justice, Area of freedom, security and justice, Police and judicial cooperation in criminal and customs matters, Judicial cooperation in civil matters;;;;;;;;;;;This act shall not apply to Denmark, This act shall not apply to Ireland;13.12.2023;Council of the European Union, European Parliament;2844;2024-01-16, 1001-01-01, 2025-05-01;;;true;;;OJ L, 2023/2844,  27.12.2023, ELI: http://data.europa.eu/eli/reg/2023/2844/oj;;;;;;;;;;
Regulation (EU) 2023/2854 of the European Parliament and of the Council of 13 December 2023 on harmonised rules on fair access to and use of data and amending Regulation (EU) 2017/2394 and Directive (EU) 2020/1828 (Data Act);;;;PE/49/2023/REV/1;32023R2854;;;;;;;data sharing, personal data, exchange of information, access to information, harmonisation of standards, disclosure of information, consumer protection, data-processing law, data transmission, data protection;;Internal market - Principles, Electronic data processing, Data protection;Industrial policy and internal market, Industrial policy: sectoral operations, Information technology, telecommunications and data-processing;;;;;;;;;;;EEA relevance;13.12.2023;Council of the European Union, European Parliament;2854;2027-09-12, 2024-01-11, 2026-09-12, 2025-09-12;;;true;;;OJ L, 2023/2854,  22.12.2023, ELI: http://data.europa.eu/eli/reg/2023/2854/oj;;;;;;;;;;
Regulation (EU) 2023/2859 of the European Parliament and of the Council of 13 December 2023 establishing a European single access point providing centralised access to publicly available information of relevance to financial services,  capital markets and sustainability;;;;PE/42/2023/REV/1;32023R2859;;;;;;;financial legislation, digital single market, information system, open data, data collection, capital market, financial services, disclosure of information, access to information, European Securities and Markets Authority;;Free movement of capital, Dissemination of information, Internal market - Principles;Industrial policy and internal market, Economic and monetary policy and free movement of capital, Industrial policy: sectoral operations, Free movement of capital, Information technology, telecommunications and data-processing;;;;;https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32023R2859R(01);;;;;;EEA relevance;13.12.2023;European Parliament, Council of the European Union;2859;09.01.2024;;;true;;;OJ L, 2023/2859,  20.12.2023, ELI: http://data.europa.eu/eli/reg/2023/2859/oj;;;;;;;;;;
Regulation (EU) 2023/2833 of the European Parliament and of the Council of 13 December 2023 establishing a catch documentation programme for bluefin tuna (Thunnus thynnus) and repealing Regulation (EU) No 640/2010;;;;PE/56/2023/REV/1;32023R2833;;;;;;;fishing controls, EU programme, Atlantic Ocean, sea fishing, data collection, fishing area, sea fish, conservation of fish stocks, catch quota, catch by species;;Fisheries policy;Fisheries, Common fisheries policy, Conservation of resources, Other conservation measures;;;;;;;;;;;;13.12.2023;European Parliament, Council of the European Union;2833;09.01.2024;;;true;;;OJ L, 2023/2833,  20.12.2023, ELI: http://data.europa.eu/eli/reg/2023/2833/oj;;;;;;;;;;
Regulation (EU Euratom) 2023/2841 of the European Parliament and of the Council of 13 December 2023 laying down measures for a high common level of cybersecurity at the institutions,  bodies,  offices and agencies of the Union;;;;PE/57/2023/REV/1;32023R2841;;;;;;;EU office or agency, information warfare, operation of the Institutions, risk management, computer crime, EU institution, information security, information system, EU body;;Provisions governing the Institutions, Security system, Telecommunications;Industrial policy and internal market, General, financial and institutional matters, Industrial policy: sectoral operations, Provisions governing the institutions, Information technology, telecommunications and data-processing;;;;;;;;;;;;13.12.2023;Council of the European Union, European Parliament;2841;07.01.2024;;;true;;;OJ L, 2023/2841,  18.12.2023, ELI: http://data.europa.eu/eli/reg/2023/2841/oj;;;;;;;;;;
Regulation (EU) 2023/2675 of the European Parliament and of the Council of 22 November 2023 on the protection of the Union and its Member States from economic coercion by third countries;;;;PE/34/2023/REV/1;32023R2675;;;;;;;economic sanctions, natural person, international sanctions, EU restrictive measure, international trade, EU Member State, economic coercion, third country, legal person, trade restriction, investment;;Commercial policy, Common foreign and security policy, External relations;Common Foreign and Security Policy, External relations, External relations, Commercial policy, Commercial policy, General, Other commercial policy measures;;;https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32023C01340, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32023C01341;;;;;;;;EEA relevance;22.11.2023;Council of the European Union, European Parliament;2675;27.12.2023;;;true;;;OJ L, 2023/2675,  7.12.2023, ELI: http://data.europa.eu/eli/reg/2023/2675/oj;;;;;;;;;;
Regulation (EU) 2023/2631 of the European Parliament and of the Council of 22 November 2023 on European Green Bonds and optional disclosures for bonds marketed as environmentally sustainable and for sustainability-linked bonds;;;;PE/27/2023/REV/1;32023R2631;;;;;09.01.2024;;Eurobond, disclosure of information, financial supervision, bond, issue of securities, climate change policy, financial legislation, economic activity, green economy, economic instrument for the environment;;Internal market - Principles, Freedom of establishment;Right of establishment and freedom to provide services, Sectoral application, Service activities, Stock exchanges and other securities markets;;;;;https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32023R2869;;;;;;EEA relevance;22.11.2023;Council of the European Union, European Parliament;2631;2026-06-21, 2024-12-21, 2023-12-20;;;true;;;OJ L, 2023/2631,  30.11.2023, ELI: http://data.europa.eu/eli/reg/2023/2631/oj;;;;;;;;;;
Regulation (EU) 2023/2405 of the European Parliament and of the Council of 18 October 2023 on ensuring a level playing field for sustainable air transport (ReFuelEU Aviation);;;;PE/29/2023/REV/1;32023R2405;;;;;;;sustainable mobility, air transport, greenhouse gas, reduction of gas emissions, supply, biofuel, aviation fuel, air quality;;Transport, Pollution, Environment;Transport policy, Environment, consumers and health protection, Air transport, Environment, Pollution and nuisances, Monitoring of atmospheric pollution;;;;;https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32023R2405R(01);;;;;;EEA relevance;18.10.2023;Council of the European Union, European Parliament;2405;2023-11-20, 2025-01-01, 2024-01-01;;;true;;;OJ L, 2023/2405,  31.10.2023, ELI: http://data.europa.eu/eli/reg/2023/2405/oj;;;;;;;;;;
Directive (EU) 2023/2225 of the European Parliament and of the Council of 18 October 2023 on credit agreements for consumers and repealing Directive 2008/48/EC;;;;PE/22/2023/REV/1;32023L2225;;;;;;;EU Member State, consumer credit, contract, single market, consumer protection, credit policy;;Approximation of laws, Consumer protection;Environment, consumers and health protection, Consumers, Protection of economic interests;;;;;https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32023L2225R(01);;;;;;;18.10.2023;Council of the European Union, European Parliament;2225;19.11.2023;;;true;;;OJ L, 2023/2225,  30.10.2023, ELI: http://data.europa.eu/eli/dir/2023/2225/oj;;;;;;;;;;
Regulation (EU) 2023/2419 of the European Parliament and of the Council of 18 October 2023 on the labelling of organic pet food;;;;PE/33/2023/REV/1;32023R2419;;;;;;;eco-label, organic farming, pet food, labelling, consumer information, domestic animal, organic product, organic certification;;Animal feedingstuffs;Agriculture, Approximation of laws and health measures, Animal feedingstuffs;;;;;https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32023R2419R(01);;;;;;;18.10.2023;European Parliament, Council of the European Union;2419;2024-05-01, 2023-10-30;;;true;;;OJ L, 2023/2419,  27.10.2023, ELI: http://data.europa.eu/eli/reg/2023/2419/oj;;;;;;;;;;
