Vote ID,File,Order of vote,Date,O'clock,Title,Title_Ro,Title_Fr,Title_German,Title_Polski,Procedure,Leg/Non-Leg/Bud,Type of Vote,Voting Rule,Rapporteur,Code,interinstitutional file number,Link,Committee responsabile,De/Policy area,Subject,Subject_ro,Subject_fr,Subject_ger,Subject_pl,"Final 
vote?",Am No.,Author,RCV,Vote,Yeas,No,Abs
1398,41.0,1.0,9.09.2015,,Fisheries partnership agreement with Guinea-Bissau: fishing opportunities and financial contribution (recommendation),,,,,***,Leg,Draft legislative resolution,s,João Ferreira,A8-0233/2015,2012/0134/NLE,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0233&language=EN,Committee on Fisheries,Fisheries,approbation,,,,,1.0,,0,RCV,+,468,104,96
1399,41.0,1.0,9.09.2015,,Fisheries partnership agreement with Guinea-Bissau: fishing opportunities and financial contribution (report),,,,,,Non,Motion for resolution,s,João Ferreira,A8-0236/2015,2015/2119/INI,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0236&language=EN,Committee on Fisheries,Fisheries,single vote,,,,,1.0,,0,RCV,+,500,78,96
1400,41.0,1.0,9.09.2015,,Fisheries partnership agreement with Cape Verde: fishing opportunities and financial contribution (recommendation),,,,,***,Leg,Draft legislative resolution,s,van Dalen,A8-0201/2015,2014/0329/NLE,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0201&language=EN,Committee on Fisheries,Fisheries,approbation,,,,,1.0,,0,RCV,+,601,54,20
1401,41.0,1.0,9.09.2015,,Fisheries partnership agreement with Cape Verde: fishing opportunities and financial contribution (report),,,,,,Non,Motion for resolution,s,van Dalen,A8-0200/2015,2015/2100/INI,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0200&language=EN,Committee on Fisheries,Fisheries,Paragraph 4,,,,,0.0,1,ECR,RCV,+,432,200,52
1402,41.0,2.0,9.09.2015,,Fisheries partnership agreement with Cape Verde: fishing opportunities and financial contribution (report),,,,,,Non,Motion for resolution,s,van Dalen,A8-0200/2015,2015/2100/INI,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0200&language=EN,Committee on Fisheries,Fisheries,vote: resolution,,,,,1.0,,0,RCV,+,605,57,26
1403,41.0,1.0,9.09.2015,,Fisheries partnership agreement with Madagascar: fishing opportunities and financial contribution,,,,,***,Leg,Draft legislative resolution,s,Santos,A8-0196/2015,2014/0319/NLE,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0196&language=EN,Committee on Fisheries,Fisheries,approbation,,,,,1.0,,0,RCV,+,609,64,20
1404,41.0,1.0,9.09.2015,,Protocol amending the Marrakesh agreement establishing the World Trade Organization,,,,,***,Leg,Draft legislative resolution,s,Bidegain,A8-0237/2015,2015/0029/NLE,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0237&language=EN,Committee on International Trade,International trade,approbation,,,,,1.0,,0,RCV,+,569,99,27
1405,41.0,1.0,9.09.2015,,Protocol amending the Marrakesh agreement establishing the World Trade Organization (Trade facilitation agreement),,,,,,Non,Motion for resolution,s,Bidegain,A8-0238/2015,2015/2067/INI,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0238&language=EN,Committee on International Trade,International trade,vote: resolution,,,,,1.0,,0,RCV,+,548,109,40
1406,41.0,1.0,9.09.2015,,"Authorisation for Austria, Belgium and Poland to ratify, or to accede to, the Convention on the contract for the carriage of goods by inland waterways (CMNI)",,,,,***,Leg,Draft legislative resolution,s,Svoboda,A8-0231/2015,2014/0345/NLE,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0231&language=EN,Committee on Legal Affairs,Legal affairs,approbation,,,,,1.0,,0,RCV,+,670,22,5
1407,41.0,1.0,9.09.2015,,Provisional measures in the area of international protection for the benefit of Italy and Greece,,,,,*,Leg,Draft legislative resolution,s,Ska Keller,A8-0245/2015,2015/0125/NLE,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0245&language=EN,"Committee on Civil Liberties, Justice and Home Affairs","Civil liberties, justice & home affairs","Article 2, paragraph 1, after point f",,,,,0.0,27,committee,RCV,+,532,148,13
