Title,ECR,EPP,Greens/EFA,IDG,NI,REG,S&D,The Left,ECR%,EPP%,Greens/EFA%,IDG%,NI%,REG%,S&D%,The Left%
1,0,3,40,0,2,2,13,22,0.0,0.017,0.563,0.0,0.043,0.02,0.09,0.579
2,1,5,67,0,7,83,114,32,0.016,0.028,0.944,0.0,0.152,0.814,0.792,0.842
3,2,118,62,0,7,91,121,34,0.031,0.67,0.873,0.0,0.152,0.892,0.84,0.895
4,1,125,65,0,5,92,122,29,0.016,0.71,0.915,0.0,0.109,0.902,0.847,0.763
5,1,129,67,0,4,99,128,36,0.016,0.733,0.944,0.0,0.087,0.971,0.889,0.947
6,47,138,5,0,16,101,11,33,0.734,0.784,0.07,0.0,0.348,0.99,0.076,0.868
7,46,129,7,3,2,98,65,2,0.719,0.733,0.099,0.047,0.043,0.961,0.451,0.053
8,48,144,67,28,20,99,96,4,0.75,0.818,0.944,0.438,0.435,0.971,0.667,0.105
9,50,144,3,27,13,100,77,0,0.781,0.818,0.042,0.422,0.283,0.98,0.535,0.0
10,49,143,8,27,12,101,115,0,0.766,0.812,0.113,0.422,0.261,0.99,0.799,0.0
11,0,2,48,2,6,19,90,24,0.0,0.011,0.676,0.031,0.13,0.186,0.625,0.632
12,16,9,45,44,27,3,6,24,0.25,0.051,0.634,0.688,0.587,0.029,0.042,0.632
13,24,111,33,19,11,25,11,0,0.375,0.631,0.465,0.297,0.239,0.245,0.076,0.0
14,57,155,69,46,24,98,139,0,0.891,0.881,0.972,0.719,0.522,0.961,0.965,0.0
15,56,149,65,18,44,102,136,31,0.875,0.847,0.915,0.281,0.957,1.0,0.944,0.816
16,56,158,69,24,22,110,141,32,0.875,0.898,0.972,0.375,0.478,1.078,0.979,0.842
17,57,158,68,40,34,108,141,37,0.891,0.898,0.958,0.625,0.739,1.059,0.979,0.974
18,57,158,69,43,34,110,139,37,0.891,0.898,0.972,0.672,0.739,1.078,0.965,0.974
19,48,158,65,4,18,107,141,37,0.75,0.898,0.915,0.062,0.391,1.049,0.979,0.974
20,9,156,68,0,22,109,140,35,0.141,0.886,0.958,0.0,0.478,1.069,0.972,0.921
21,5,152,67,0,7,106,139,26,0.078,0.864,0.944,0.0,0.152,1.039,0.965,0.684
22,32,156,66,0,22,111,127,28,0.5,0.886,0.93,0.0,0.478,1.088,0.882,0.737
23,16,14,1,52,26,4,1,3,0.25,0.08,0.014,0.812,0.565,0.039,0.007,0.079
24,17,15,2,51,35,2,3,3,0.266,0.085,0.028,0.797,0.761,0.02,0.021,0.079
25,0,4,65,16,16,7,2,30,0.0,0.023,0.915,0.25,0.348,0.069,0.014,0.789
26,0,2,67,17,15,3,1,31,0.0,0.011,0.944,0.266,0.326,0.029,0.007,0.816
27,55,150,67,53,27,105,129,21,0.859,0.852,0.944,0.828,0.587,1.029,0.896,0.553
28,59,145,66,54,46,103,124,5,0.922,0.824,0.93,0.844,1.0,1.01,0.861,0.132
29,27,15,4,54,32,3,5,0,0.422,0.085,0.056,0.844,0.696,0.029,0.035,0.0
30,57,141,65,49,42,104,121,9,0.891,0.801,0.915,0.766,0.913,1.02,0.84,0.237
31,49,144,65,1,18,108,127,5,0.766,0.818,0.915,0.016,0.391,1.059,0.882,0.132
