Title,ECR,EFD/IDG,EPP,Greens/EFA,NI,REG,S&D,The Left,ECR%,EFD/IDG%,EPP%,Greens/EFA%,NI%,REG%,S&D%,The Left%
1,0.0,0.0,3.0,40.0,2.0,2.0,13.0,23.0,0.0,0.0,0.016,0.541,0.035,0.019,0.084,0.561
2,1.0,0.0,5.0,67.0,7.0,83.0,114.0,34.0,0.016,0.0,0.027,0.905,0.123,0.769,0.74,0.829
3,2.0,0.0,118.0,62.0,7.0,91.0,121.0,36.0,0.032,0.0,0.648,0.838,0.123,0.843,0.786,0.878
4,1.0,0.0,125.0,65.0,5.0,92.0,122.0,31.0,0.016,0.0,0.687,0.878,0.088,0.852,0.792,0.756
5,1.0,0.0,129.0,67.0,4.0,99.0,128.0,38.0,0.016,0.0,0.709,0.905,0.07,0.917,0.831,0.927
6,47.0,0.0,138.0,5.0,16.0,101.0,11.0,35.0,0.758,0.0,0.758,0.068,0.281,0.935,0.071,0.854
7,46.0,3.0,129.0,7.0,2.0,98.0,65.0,2.0,0.742,0.041,0.709,0.095,0.035,0.907,0.422,0.049
8,48.0,28.0,144.0,67.0,20.0,99.0,96.0,4.0,0.774,0.384,0.791,0.905,0.351,0.917,0.623,0.098
9,50.0,27.0,144.0,3.0,13.0,100.0,77.0,0.0,0.806,0.37,0.791,0.041,0.228,0.926,0.5,0.0
10,49.0,27.0,143.0,8.0,12.0,101.0,115.0,0.0,0.79,0.37,0.786,0.108,0.211,0.935,0.747,0.0
11,0.0,2.0,2.0,48.0,6.0,19.0,90.0,25.0,0.0,0.027,0.011,0.649,0.105,0.176,0.584,0.61
12,16.0,44.0,9.0,45.0,27.0,3.0,6.0,25.0,0.258,0.603,0.049,0.608,0.474,0.028,0.039,0.61
13,24.0,19.0,111.0,33.0,11.0,25.0,11.0,0.0,0.387,0.26,0.61,0.446,0.193,0.231,0.071,0.0
14,57.0,46.0,155.0,69.0,24.0,98.0,139.0,0.0,0.919,0.63,0.852,0.932,0.421,0.907,0.903,0.0
15,56.0,18.0,149.0,65.0,44.0,102.0,136.0,31.0,0.903,0.247,0.819,0.878,0.772,0.944,0.883,0.756
16,56.0,24.0,158.0,69.0,22.0,110.0,141.0,34.0,0.903,0.329,0.868,0.932,0.386,1.019,0.916,0.829
17,57.0,40.0,158.0,68.0,34.0,108.0,141.0,39.0,0.919,0.548,0.868,0.919,0.596,1.0,0.916,0.951
18,57.0,43.0,158.0,69.0,34.0,110.0,139.0,39.0,0.919,0.589,0.868,0.932,0.596,1.019,0.903,0.951
19,48.0,4.0,158.0,65.0,18.0,107.0,141.0,39.0,0.774,0.055,0.868,0.878,0.316,0.991,0.916,0.951
20,9.0,0.0,156.0,68.0,22.0,109.0,140.0,37.0,0.145,0.0,0.857,0.919,0.386,1.009,0.909,0.902
21,5.0,0.0,152.0,67.0,7.0,106.0,139.0,28.0,0.081,0.0,0.835,0.905,0.123,0.981,0.903,0.683
22,32.0,0.0,156.0,66.0,22.0,111.0,127.0,30.0,0.516,0.0,0.857,0.892,0.386,1.028,0.825,0.732
