Title,ECR,EPP,Greens/EFA,IDG,NI,REG,S&D,The Left,ECR%,EPP%,Greens/EFA%,IDG%,NI%,REG%,S&D%,The Left%
1,0,3,40,0,2,2,13,22,0.0,0.016,0.541,0.0,0.035,0.019,0.084,0.537
2,1,5,67,0,7,83,114,32,0.016,0.027,0.905,0.0,0.123,0.769,0.74,0.78
3,2,118,62,0,7,91,121,34,0.032,0.648,0.838,0.0,0.123,0.843,0.786,0.829
4,1,125,65,0,5,92,122,29,0.016,0.687,0.878,0.0,0.088,0.852,0.792,0.707
5,1,129,67,0,4,99,128,36,0.016,0.709,0.905,0.0,0.07,0.917,0.831,0.878
6,47,138,5,0,16,101,11,33,0.758,0.758,0.068,0.0,0.281,0.935,0.071,0.805
7,46,129,7,3,2,98,65,2,0.742,0.709,0.095,0.041,0.035,0.907,0.422,0.049
8,48,144,67,28,20,99,96,4,0.774,0.791,0.905,0.384,0.351,0.917,0.623,0.098
9,50,144,3,27,13,100,77,0,0.806,0.791,0.041,0.37,0.228,0.926,0.5,0.0
10,49,143,8,27,12,101,115,0,0.79,0.786,0.108,0.37,0.211,0.935,0.747,0.0
11,0,2,48,2,6,19,90,24,0.0,0.011,0.649,0.027,0.105,0.176,0.584,0.585
12,16,9,45,44,27,3,6,24,0.258,0.049,0.608,0.603,0.474,0.028,0.039,0.585
13,24,111,33,19,11,25,11,0,0.387,0.61,0.446,0.26,0.193,0.231,0.071,0.0
14,57,155,69,46,24,98,139,0,0.919,0.852,0.932,0.63,0.421,0.907,0.903,0.0
15,56,149,65,18,44,102,136,31,0.903,0.819,0.878,0.247,0.772,0.944,0.883,0.756
16,56,158,69,24,22,110,141,32,0.903,0.868,0.932,0.329,0.386,1.019,0.916,0.78
17,57,158,68,40,34,108,141,37,0.919,0.868,0.919,0.548,0.596,1.0,0.916,0.902
18,57,158,69,43,34,110,139,37,0.919,0.868,0.932,0.589,0.596,1.019,0.903,0.902
19,48,158,65,4,18,107,141,37,0.774,0.868,0.878,0.055,0.316,0.991,0.916,0.902
20,9,156,68,0,22,109,140,35,0.145,0.857,0.919,0.0,0.386,1.009,0.909,0.854
21,5,152,67,0,7,106,139,26,0.081,0.835,0.905,0.0,0.123,0.981,0.903,0.634
22,32,156,66,0,22,111,127,28,0.516,0.857,0.892,0.0,0.386,1.028,0.825,0.683
23,16,14,1,52,26,4,1,3,0.258,0.077,0.014,0.712,0.456,0.037,0.006,0.073
24,17,15,2,51,35,2,3,3,0.274,0.082,0.027,0.699,0.614,0.019,0.019,0.073
