Vote ID,File,Order of vote,Date,Title,Procedure,Leg/Non-Leg/Bud,Type of Vote,Voting Rule,Rapporteur,Code,Interinstitutional file number,Link,Committee responsabile,De/Policy area,Subject,"Final 
vote?",Am No.,Author,RCV,Vote,Yeas,No,Abs,ECR,EFD/IDG,EPP,Greens/EFA,NI,REG,S&D,The Left,ECR%,EFD/IDG%,EPP%,Greens/EFA%,NI%,REG%,S&D%,The Left%,General Majority,Right Majority,Left Majority,Consensus
40,3.0,1.0,2014-09-16 00:00:00,"""EU-Ukraine association agreement, with the exception of the treatment of third country nationals legally employed as workers in the territory of the other party""","""***""","""Leg""","""Draft legislative resolution""","""s""","""Saryusz-Wolski ""","""A8-0002/2014 ""","""2013/0151A/NLE""","""http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0002&language=EN""","""Committee on Foreign Affairs""","""Foreign & security policy""","""approbation""",1.0,,0,"""RCV""","""+""",535,127,35,53.0,0.0,207.0,35.0,3.0,61.0,175.0,1.0,0.757,0.0,0.937,0.7,0.058,0.91,0.916,0.019,1,0,0,0
41,3.0,1.0,2014-09-16 00:00:00,"""EU-Ukraine association agreement, as regards the treatment of third country nationals legally employed as workers in the territory of the other party""","""***""","""Leg""","""Draft legislative resolution""","""s""","""Moraes ""","""A8-0009/2014 ""","""2013/0151B/NLE""","""http://www.europarl.europa.eu/sides/getDoc.do?type=AGENDA&reference=20140916&secondRef=SIT&language=EN""","""Committee on Civil Liberties, Justice and Home Affairs""","""Civil liberties, justice & home affairs""","""approbation""",1.0,,0,"""RCV""","""+""",539,123,33,39.0,15.0,207.0,37.0,4.0,61.0,175.0,1.0,0.557,0.312,0.937,0.74,0.077,0.91,0.916,0.019,1,0,0,0
132,7.0,1.0,"""22.10.2014""","""Protocol to the EU-Republic of Korea Free Trade Agreement to take account of Croatia's accession to the EU""","""***""","""Leg""","""Draft legislative resolution""","""s""","""Zahradil""","""A8-0012/2014""","""2014/0019/NLE""","""http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0012&language=EN""","""Committee on International Trade""","""International trade""","""approbation""",1.0,,0,"""RCV""","""+""",524,53,106,61.0,20.0,204.0,6.0,3.0,56.0,174.0,0.0,0.871,0.417,0.923,0.12,0.058,0.836,0.911,0.0,1,0,0,0
138,8.0,1.0,"""23.10.2014""","""Customs duties on goods originating in Ukraine""","""***I""","""Leg""","""Draft legislative resolution""","""s""","""Landsbergis""","""A8-0021/2014""","""2014/0279/COD""","""http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0021&language=EN""","""Committee on International Trade""","""International trade""","""vote: legislative resolution""",1.0,,0,"""RCV""","""+""",497,78,56,54.0,1.0,180.0,42.0,3.0,51.0,165.0,1.0,0.771,0.021,0.814,0.84,0.058,0.761,0.864,0.019,1,0,0,0
143,9.0,1.0,"""13.11.2014""","""Association agreement between the European Union and the Republic of Moldova""","""***""","""Leg""","""Draft legislative resolution""","""s""","""Auštrevičius""","""A8-0020/2014""","""2014/0083/NLE""","""http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0020&language=EN""","""Committee on Foreign Affairs""","""Foreign & security policy""","""approbation""",1.0,,0,"""RCV""","""+""",535,94,44,58.0,3.0,195.0,44.0,5.0,64.0,165.0,1.0,0.829,0.062,0.882,0.88,0.096,0.955,0.864,0.019,1,0,0,0
155,10.0,1.0,"""25.11.2014""","""Protocol on matters specific to railway rolling stock""","""***""","""Leg""","""Draft legislative resolution""","""s""","""Hautala""","""A8-0030/2014""","""2013/0184/NLE""","""http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0030&language=EN""","""Committee on Legal Affairs""","""Legal affairs""","""approbation""",1.0,,0,"""RCV""","""+""",557,82,17,63.0,16.0,202.0,46.0,6.0,60.0,163.0,1.0,0.9,0.333,0.914,0.92,0.115,0.896,0.853,0.019,1,0,0,0
156,10.0,1.0,"""25.11.2014""","""Hague Convention of 30 June 2005 on choice of Court agreements""","""***""","""Leg""","""Draft legislative resolution""","""s""","""Svoboda""","""A8-0034/2014""","""2014/0021/NLE""","""http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0034&language=EN""","""Committee on Legal Affairs""","""Legal affairs""","""approbation""",1.0,,0,"""RCV""","""+""",619,52,10,66.0,23.0,205.0,49.0,7.0,61.0,169.0,39.0,0.943,0.479,0.928,0.98,0.135,0.91,0.885,0.75,1,0,0,0
218,13.0,1.0,"""16.12.2014""","""Scientific examination of questions relating to food""","""***I""","""Leg""","""Draft legislative resolution""","""s""","""La Via""","""A8-0059/2014""","""2014/0132/COD""","""http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0059&language=EN""","""Committee on the Environment, Public Health and Food Safety""","""Environment & public health""","""single vote""",1.0,,0,"""RCV""","""+""",640,53,6,62.0,28.0,202.0,49.0,9.0,65.0,178.0,47.0,0.886,0.583,0.914,0.98,0.173,0.97,0.932,0.904,1,0,0,0
219,13.0,1.0,"""16.12.2014""","""Convention on International Trade in Endangered Species (CITES)""","""***""","""Leg""","""Draft legislative resolution""","""s""","""Ayuso""","""A8-0036/2014""","""2013/0418/NLE""","""http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0036&language=EN""","""Committee on the Environment, Public Health and Food Safety""","""Environment & public health""","""approbation""",1.0,,0,"""RCV""","""+""",641,60,1,64.0,24.0,201.0,50.0,11.0,65.0,178.0,48.0,0.914,0.5,0.91,1.0,0.212,0.97,0.932,0.923,1,0,0,0
220,13.0,1.0,"""16.12.2014""","""Cooperation agreement on a civil Global Navigation Satellite System (GNSS) with Morocco""","""***""","""Leg""","""Draft legislative resolution""","""s""","""Buzek""","""A8-0045/2014""","""2013/0414/NLE""","""http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0045&language=EN""","""Committee on Industry, Research and Energy""","""Industry, research & energy""","""approbation""",1.0,,0,"""RCV""","""+""",615,79,10,63.0,46.0,203.0,48.0,9.0,65.0,176.0,5.0,0.9,0.958,0.919,0.96,0.173,0.97,0.921,0.096,1,0,0,0
