Vote ID,File,Order of vote,Date,Title,Procedure,Leg/Non-Leg/Bud,Type of Vote,Voting Rule,Rapporteur,Code,Interinstitutional file number,Link,Committee responsabile,Policy area,Subject,Final vote?,Am No.,Author,RCV,Vote,Yes,No,Abs,ECR,EFD/IDG,EPP,Greens/EFA,NI,REG,S&D,The Left,ECR%,EFD/IDG%,EPP%,Greens/EFA%,NI%,REG%,S&D%,The Left%,General Majority,Right Majority,Left Majority,Consensus
83,10,1,"""22.10.2019""","""European Globalisation Adjustment Fund (2014-2020)""","""***I""","""Leg""","""Draft legislative resolution""","""s""","""Blinkevičiūtė""","""A9-0015/2019""","""2019/0180/COD""","""https://www.europarl.europa.eu/doceo/document/A-9-2019-0015_EN.html""","""Committee on Employment and Social Affairs""","""Employment & Social Affairs""","""single vote""",1.0,,0,"""RCV""","""+""",516,23,17,36.0,34.0,139.0,58.0,24.0,77.0,119.0,29.0,0.581,0.466,0.764,0.784,0.421,0.713,0.773,0.707,1,0,1,0
84,10,1,"""22.10.2019""","""Fishing authorisations for Union fishing vessels in United Kingdom waters and fishing operations of United Kingdom fishing vessels in Union waters""","""***I""","""Leg""","""Draft legislative resolution""","""s""","""Davies""","""A9-0014/2019""","""2019/0187/COD""","""https://www.europarl.europa.eu/doceo/document/A-9-2019-0014_EN.html""","""Committee on Fisheries""","""Fisheries ""","""single vote""",1.0,,0,"""RCV""","""+""",574,24,2,48.0,52.0,144.0,61.0,30.0,85.0,124.0,30.0,0.774,0.712,0.791,0.824,0.526,0.787,0.805,0.732,1,0,0,0
85,10,1,"""22.10.2019""","""Implementation and financing of the EU general budget in 2020 in relation to the UK's withdrawal from the EU""","""***""","""Leg""","""Draft legislative resolution""","""s""","""Van Overtveldt""","""A9-0018/2019""","""2019/0186/APP""","""https://www.europarl.europa.eu/doceo/document/A-9-2019-0018_EN.html""","""Committee on Budgets""","""Budget""","""vote: consent """,1.0,,0,"""RCV""","""+""",543,30,46,44.0,15.0,147.0,64.0,25.0,90.0,126.0,32.0,0.71,0.205,0.808,0.865,0.439,0.833,0.818,0.78,1,0,0,0
86,10,1,"""22.10.2019""","""Periods of application of Regulation (EU) 2019/501 and Regulation (EU) 2019/502""","""***I""","""Leg""","""Draft legislative resolution""","""s""","""Delli""","""C9-0108/2019""","""2019/0179/COD""","""https://www.europarl.europa.eu/doceo/document/TA-9-2019-0037_EN.html""","""Committee on Transport and Tourism""","""Transport & tourism""","""vote: Commission proposal""",1.0,,0,"""RCV""","""+""",618,0,6,50.0,50.0,147.0,66.0,51.0,92.0,131.0,31.0,0.806,0.685,0.808,0.892,0.895,0.852,0.851,0.756,1,0,0,1
150,12,1,"""24.10.2019""","""Financial assistance to Member States to cover serious financial burden inflicted on them following a UK's withdrawal from the EU without an agreement""","""***I""","""Leg""","""Draft legislative resolution""","""s""","""Omarjee""","""A9-0020/2019""","""2019/0183/COD""","""https://www.europarl.europa.eu/doceo/document/A-9-2019-0020_EN.html""","""Committee on Regional Development""","""Regional development""","""Single vote""",1.0,,0,"""RCV""","""+""",511,64,66,45.0,0.0,148.0,63.0,18.0,84.0,118.0,35.0,0.726,0.0,0.813,0.851,0.316,0.778,0.766,0.854,1,0,0,0
294,16,1,"""26.11.2019""","""EU-Ukraine Agreement Amending the trade preferences for poultry meat and poultry meat preparations provided for by the EU-Ukraine Association Agreement""","""***""","""Leg""","""Draft legislative resolution""","""s""","""GYŐRI""","""A9-0024/2019""","""2019/0132/NLE""","""https://www.europarl.europa.eu/doceo/document/A-9-2019-0024_EN.html""","""Committee on International Trade""","""International trade""","""vote: consent""",1.0,,0,"""RCV""","""+""",444,128,74,48.0,1.0,147.0,5.0,23.0,102.0,118.0,0.0,0.774,0.014,0.808,0.068,0.404,0.944,0.766,0.0,1,0,0,0
367,18,1,"""28.11.2019""","""EU/USA Agreement on the allocation of a share in the tariff rate quota for imports of high-quality beef""","""***""","""Leg""","""Draft legislative resolution""","""s""","""Lange""","""A9-0038/2019""","""2019/0142/NLE""","""https://www.europarl.europa.eu/doceo/document/A-9-2019-0038_EN.html""","""Committee on International Trade""","""International trade""","""vote: consent""",1.0,,0,"""RCV""","""+""",457,140,71,57.0,2.0,140.0,5.0,20.0,103.0,130.0,0.0,0.919,0.027,0.769,0.068,0.351,0.954,0.844,0.0,1,0,0,0
458,19,1,"""17.12.2019""","""Macro-financial assistance to Jordan""","""***I""","""Leg""","""Draft legislative resolution""","""s""","""Regimenti ""","""A9-0045/2019""","""2019/0192/COD""","""https://www.europarl.europa.eu/doceo/document/A-9-2019-0045_EN.html""","""Committee on International Trade""","""International trade""","""single vote""",1.0,,0,"""RCV""","""+""",654,28,11,56.0,61.0,161.0,74.0,24.0,109.0,144.0,25.0,0.903,0.836,0.885,1.0,0.421,1.009,0.935,0.61,1,0,0,0
459,19,1,"""17.12.2019""","""EU-Switzerland Agreement on the stepping up of cross-border cooperation, particularly in combating terrorism and cross-border crime""","""***""","""Leg""","""Draft legislative resolution""","""s""","""Metsola""","""A9-0043/2019""","""2019/0013/NLE""","""https://www.europarl.europa.eu/doceo/document/A-9-2019-0043_EN.html""","""Committee on Civil Liberties, Justice and Home Affairs""","""Civil liberties, justice & home affairs""","""vote: consent""",1.0,,0,"""RCV""","""+""",625,14,47,56.0,61.0,158.0,73.0,26.0,106.0,143.0,2.0,0.903,0.836,0.868,0.986,0.456,0.981,0.929,0.049,1,0,0,0
460,19,1,"""17.12.2019""","""EU-Liechtenstein Agreement on the stepping up of cross-border cooperation, particularly in combating terrorism and cross-border crime""","""***""","""Leg""","""Draft legislative resolution""","""s""","""Metsola""","""A9-0044/2019""","""2019/0012/NLE""","""https://www.europarl.europa.eu/doceo/document/A-9-2019-0044_EN.html""","""Committee on Civil Liberties, Justice and Home Affairs""","""Civil liberties, justice & home affairs""","""vote: consent""",1.0,,0,"""RCV""","""+""",631,12,51,56.0,59.0,161.0,74.0,26.0,109.0,144.0,2.0,0.903,0.808,0.885,1.0,0.456,1.009,0.935,0.049,1,0,0,0
461,19,1,"""17.12.2019""","""Protocol to EU-Switzerland Agreement concerning the criteria and mechanisms for establishing the State responsible for examining a request for asylum lodged in a Member State or in Switzerland regarding the access to Eurodac for law enforcement purposes""","""***""","""Leg""","""Draft legislative resolution""","""s""","""Wiśniewska""","""A9-0025/2019""","""2018/0418/NLE""","""https://www.europarl.europa.eu/doceo/document/A-9-2019-0025_EN.html""","""Committee on Civil Liberties, Justice and Home Affairs""","""Civil liberties, justice & home affairs""","""vote: consent""",1.0,,0,"""RCV""","""+""",631,36,27,56.0,61.0,161.0,74.0,25.0,109.0,144.0,1.0,0.903,0.836,0.885,1.0,0.439,1.009,0.935,0.024,1,0,0,0
462,19,1,"""17.12.2019""","""Accession of Solomon Islands to the EU-Pacific States Interim Partnership Agreement""","""***""","""Leg""","""Draft legislative resolution""","""s""","""Lange""","""A9-0050/2019""","""2019/0099/NLE""","""https://www.europarl.europa.eu/doceo/document/A-9-2019-0050_EN.html""","""Committee on International Trade""","""International trade""","""vote: consent""",1.0,,0,"""RCV""","""+""",534,145,13,58.0,40.0,162.0,8.0,20.0,108.0,138.0,0.0,0.935,0.548,0.89,0.108,0.351,1.0,0.896,0.0,1,0,0,0
