Vote ID,Title,ECR%,EPP%,Greens/EFA%,EFD/IDG%,NI%,REG%,S&D%,The Left%,General Majority,Left Majority,Right Majority,Consensus
1040,"""""EU-Montenegro status agreement on actions carried out by the European Border and Coast Guard Agency in Montenegro""""",0.984,0.956,0.068,0.822,0.509,0.935,0.89,0.024,1,0,1,0
834,"""""Specific measures to mobilise investments in the health care systems of the Member States and in other sectors of their economies in response to the COVID-19 outbreak (Coronavirus Response Investment Initiative)""""",0.984,0.94,0.905,0.836,0.702,0.926,0.935,0.951,1,0,0,0
1042,"""""Renewal of the EU-India Agreement for scientific and technological cooperation""""",0.984,0.962,0.905,0.795,0.579,0.944,0.831,0.951,1,0,0,0
1452,"""""Conclusion of the EU-China Civil Aviation Safety Agreement""""",0.968,0.945,0.892,0.548,0.491,0.944,0.909,0.902,1,0,0,0
1439,"""""Protocol on the implementation of the Fisheries Partnership Agreement between the European Community and Guinea-Bissau (2019-2024)""""",0.903,0.951,0.027,0.342,0.246,0.926,0.916,0.634,1,0,0,0
5277,"""""Rules and general principles concerning mechanisms for control by Member States of the Commission’s exercise of implementing powers""""",0.048,0.088,0.959,0.699,0.421,0.87,0.87,0.878,0,0,0,0
11399,"""""Catch documentation programme for bluefin tuna""""",1.0,0.956,0.905,0.644,0.614,0.926,0.935,0.927,1,0,0,0
882,"""""Regulation Amendmentending the Multiannual financial framework 2014-2020""""",0.79,0.522,0.527,0.658,0.544,0.741,0.617,0.659,0,0,0,0
11385,"""""Rail: prolongation of temporary levying of charges - COVID-19""""",1.032,0.956,0.932,0.822,0.596,0.944,0.922,0.805,1,0,0,0
2834,"""""Organic production: date of application and certain other dates""""",0.984,0.967,0.919,0.74,0.596,0.944,0.909,0.854,1,0,0,0
13234,"""""Revision of the EU Emissions Trading System for aviation""""",0.065,0.835,0.919,0.014,0.228,0.824,0.825,0.585,0,0,0,0
9261,"""""Official controls on animals and products of animal origin in order to ensure compliance with the prohibition of certain uses of antimicrobials""""",1.0,0.945,0.932,0.74,0.614,0.944,0.909,0.951,1,0,0,0
5202,"""""Management, conservation and control measures applicable in the Inter-American Tropical Tuna Convention area""""",0.952,0.951,0.946,0.63,0.579,0.935,0.922,0.951,1,0,0,0
1451,"""""Conclusion of the EU-Jordan Euro-Mediterranean Aviation agreement""""",0.984,0.956,0.905,0.603,0.561,0.944,0.929,0.732,1,0,0,0
9422,"""""Interbus agreement: Protocol on international regular and special regular carriage of passengers by coach and bus""""",0.968,0.951,0.932,0.014,0.526,0.954,0.922,0.854,1,0,0,0
10924,"""""International procurement instrument""""",0.968,0.962,0.932,0.849,0.614,0.926,0.896,0.634,1,0,0,0
1353,"""""Exceptional temporary support under EAFRD in response to the COVID-19 outbreak (Amendment of Regulation (EU) No 1305/2013)""""",1.016,0.973,0.919,0.836,0.649,0.935,0.929,0.927,1,0,0,0
12367,"""""Batteries and waste batteries""""",0.952,0.956,0.919,0.63,0.667,0.917,0.916,0.951,1,0,0,0
10756,"""""Insolvency proceedings: replacing Annexes A and B to the Regulation""""",0.984,0.956,0.946,0.74,0.649,0.917,0.896,0.927,1,0,0,0
6827,"""""Fisheries control""""",0.161,0.879,0.027,0.137,0.421,0.898,0.838,0.171,0,0,0,0
1347,"""""Transitional provisions for the support by the European Agricultural Fund for Rural Development (EAFRD) and by the European Agricultural Guarantee Fund (EAGF) in the year 2021 (AGRI)Decision to enter into interinstitutional negotiations""""",0.919,0.918,0.054,0.822,0.561,0.861,0.779,0.39,1,0,1,0
6826,"""""Fisheries control""""",0.113,0.852,0.027,0.014,0.421,0.787,0.786,0.146,0,0,0,0
2363,"""""Amending Decision No 1313/2013/EU on a Union Civil Protection Mechanism""""",0.871,0.912,0.946,0.329,0.509,0.889,0.916,0.902,1,0,0,0
5623,"""""Agreement for co-operation in dealing with pollution of the North Sea by oil and other harmful substances (Bonn Agreement): extension of its material and geographical scope of application""""",1.016,0.945,0.959,0.849,0.702,0.935,0.929,0.902,1,0,0,0
1450,"""""Amendment of the EU-Morocco Euro-Mediterranean Aviation Agreement (accession of Bulgaria and Romania)""""",0.984,0.956,0.892,0.603,0.491,0.944,0.864,0.366,1,0,0,0
9890,"""""EU-Korea agreement: certain aspects of air services""""",1.016,0.951,0.919,0.863,0.632,0.944,0.909,0.829,1,0,0,0
996,"""""Request for urgent procedure - Temporary measures concerning the general meetings of European companies (SE) and of European Cooperative Societies (SCE)""""",1.016,0.956,0.919,0.836,0.579,0.944,0.909,0.195,1,0,0,0
522,"""""EU-China Agreement on certain aspects of air services""""",0.935,0.819,0.946,0.589,0.509,0.981,0.831,0.341,1,0,0,0
9419,"""""Recognition of third countries certificates in inland navigation""""",1.016,0.951,0.932,0.37,0.526,0.954,0.922,0.951,1,0,0,0
10758,"""""Packaged retail and insurance-based investment products (PRIIPs): key information documents. Extension of the transitional arrangement""""",0.984,0.956,0.946,0.438,0.491,0.926,0.896,0.122,1,0,0,0
9602,"""""European Medicines Agency""""",0.968,0.951,0.932,0.616,0.596,0.954,0.922,0.951,1,0,0,0
13017,"""""Temporary trade liberalisation supplementing trade concessions applicable to Ukrainian products under EU/Ukraine Association Agreement""""",0.855,0.731,0.77,0.37,0.474,0.824,0.695,0.537,1,0,0,0
10759,"""""Undertakings for collective investment in transferable securities (UCITS): the use of key information documents""""",0.984,0.956,0.946,0.452,0.491,0.926,0.896,0.122,1,0,0,0
86,"""""Periods of application of Regulation (EU) 2019/501 and Regulation (EU) 2019/502""""",0.806,0.808,0.892,0.685,0.895,0.852,0.851,0.756,1,0,0,1
3260,"""""Amending Regulation (EU) No 168/2013 as regards specific measures on L-category end-of-series vehicles in response to the COVID-19 pandemic""""",1.016,0.94,0.919,0.863,0.649,0.954,0.909,0.78,1,0,0,0
5215,"""""Fishing authorisations for Union fishing vessels in United Kingdom waters and fishing operations of United Kingdom fishing vessels in Union waters""""",1.032,0.967,0.946,0.836,0.614,0.926,0.916,0.951,1,0,0,0
851,"""""Specific measures to provide exceptional flexibility for the use of the European Structural and Investments Funds in response to the COVID-19 outbreak""""",1.016,0.951,0.919,0.836,0.702,0.954,0.929,0.927,1,0,0,0
150,"""""Financial assistance to Member States to cover serious financial burden inflicted on them following a UK's withdrawal from the EU without an agreement""""",0.726,0.813,0.851,0.0,0.316,0.778,0.766,0.854,1,0,0,0
1938,"""""Amending Regulation (EU) No 1303/2013 as regards the resources for the specific allocation for the Youth Employment Initiative""""",0.774,0.923,0.919,0.644,0.632,0.944,0.929,0.927,1,0,0,0
13284,"""""Binding annual greenhouse gas emission reductions by Member States (Effort Sharing Regulation)""""",0.016,0.742,0.905,0.014,0.193,0.815,0.844,0.073,0,0,0,0
852,"""""Request for urgent procedure - Introduction of specific measures for addressing the COVID-19 crisis""""",1.016,0.951,0.905,0.836,0.649,0.935,0.916,0.927,1,0,0,0
13069,"""""Extension of the Agreement on the promotion, provision and use of Galileo and GPS satellite-based navigation systems and related applications""""",0.839,0.802,0.797,0.699,0.368,0.796,0.727,0.683,1,0,0,0
11400,"""""Catch documentation programme for bluefin tuna""""",1.0,0.956,0.905,0.342,0.526,0.926,0.935,0.927,1,0,0,0
11282,"""""Digital Services Act""""",0.565,0.775,0.851,0.26,0.509,0.935,0.896,0.049,0,0,0,0
1348,"""""Conclusion of the EU-Israel Euro-Mediterranean Aviation Agreement""""",0.016,0.055,0.919,0.055,0.263,0.343,0.721,0.78,0,1,0,0
11386,"""""Macro-financial assistance to Ukraine""""",0.887,0.962,0.905,0.329,0.509,0.944,0.922,0.098,1,0,0,0
8189,"""""Protocol to the EU/Central America Association Agreement (accession of Croatia)""""",1.016,0.956,0.946,0.438,0.544,0.944,0.929,0.488,1,0,0,0
8727,"""""Transitional provisions in order to address the impact of COVID-19 crisis (amendment of Regulation (EU) 2016/1628)""""",1.0,0.951,0.959,0.877,0.579,0.954,0.922,0.341,1,0,0,0
8627,"""""The Aarhus Regulation""""",0.855,0.934,0.959,0.11,0.544,0.935,0.922,0.902,1,0,0,0
4313,"""""Common agricultural policy – Amendment of the CMO and other Regulations""""",0.871,0.945,0.959,0.822,0.596,0.898,0.734,0.488,1,0,0,0
