Vote ID,Title,ECR%,EPP%,Greens/EFA%,EFD/IDG%,NI%,REG%,S&D%,The Left%,General Majority,Left Majority,Right Majority,Consensus,Summary text
2663EP7,"""""Minimum health and safety requirements regarding the exposure of workers to the risks arising from physical agents (electromagnetic fields)""""",0.702,0.897,0.86,0.613,0.394,0.855,0.887,0.0,1.0,0.0,0.0,0.0,"PURPOSE: to amend Directive 2004/40/EC regarding the exposure of workers to the risks arising from electromagnetic fields. PROPOSED ACT: Directive of the European Parliament and of the Council. BACKGROUND: in 2006, the medical community informed the Commission of its concerns about implementing this Directive, claiming that the exposure limit values laid down therein would place disproportionate limitations on the use and development of medical magnetic resonance applications (MR), considered today to be a vital tool for the diagnosis and treatment of a number of diseases. Other industrial sectors subsequently expressed their concerns about the impact of the Directive on their activities. In response to these concerns, the Commission took a number of steps: to enable the Commission to conduct an in-depth impact analysis and propose amendments, the deadline for transposition of the Directive was put back from 30 April 2008 to 30 April 2012 by Directive 2008/46/EC ; the Commission examined the situation thoroughly, analysing the latest scientific studies on the negative impact the exposure limit values set by the Directive might have on the medical use of imaging technologies using magnetic resonance (MR) ; after a significant number of consultations of stakeholders and having due regard to the latest scientific recommendations, the Commission adopted, on 14 June 2011, the proposal for a new Directive to amend and replace Directive 2004/40/EC, with a view to guaranteeing a high level of health and safety protection for workers while at the same time enabling medical and other industrial activities using electromagnetic fields to continue and develop; once the Commission proposal had been adopted, the European Parliament and the Council immediately started work with a view to amending Directive 2004/40/EC before 30 April 2012. However, because of i) the technical complexity of the subject-matter, requiring long discussions with national experts; ii) the highly divergent views on some key provisions of the proposal, the European Parliament and the Council will be unlikely to finalise the adoption process before 30 April 2012. Under these circumstances, a new Directive is required to postpone for a second time the deadline for transposition of Directive 2004/40/EC in order to prevent an uncertain legal situation from arising after 30 April 2012 IMPACT ASSESSMENT: given the urgency of the proposal and its limited impact, this proposal is not accompanied by a specific impact assessment. Doing nothing at this stage would oblige the great majority of Member States which have not yet transposed Directive 2004/40/EC into national law to do so and to enforce it within a very short period of time, i.e. by the current deadline of 30 April 2012, with potentially serious consequences for the continuity of healthcare services using MRI. Moreover, the legal uncertainty that might arise due to the non-transposition of the Directive could have the following consequences: the Commission would in principle have to launch infringement proceedings for non-communication of transposition measures against any Member States which have not transposed the Directive yet; Directive 2004/40/EC would start to have direct vertical effect in the national legal order of all Member States, and citizens could take their governments to court for their failure to implement the Directive. Postponing the date of transposition will not unduly impede the use of MRI or other industrial activities. At the same time, postponement would give sufficient time for the Directive, in particular the exposure limit values, to be updated and improved, by means of a new Directive based on the Commission proposal. LEGAL BASIS: Article 153 (2) of the Treaty on the Functioning of the European Union (TFEU). CONTENT: the purpose of this proposal is simply to postpone the deadline for the transposition of Directive 2004/40/EC until 30 April 2014. These extra two years will give sufficient time for the Directive, and particularly the exposure limit values, to be updated and improved, by means of a new Directive proposed by the Commission which is currently being discussed in the Council and the EP. The two-year postponement will also avoid any negative legal consequences in the legal orders of Member States which have not yet transposed the Directive. BUDGETARY IMPACT: the proposal will have no impact on the EU’s budget."
8766EP8,"""""EU-China Agreement in connection with the WTO dispute settlement proceedings DS492 - Measures affecting tariff concessions on certain poultry meat products""""",0.914,0.919,0.92,0.271,0.115,0.94,0.864,0.558,1.0,0.0,0.0,0.0,"PURPOSE: to conclude, on behalf of the European Union, the Agreement in the form of an Exchange of Letters between the Union and China in connection with the WTO dispute settlement proceedings: DS492 - measures affecting tariff concessions on certain poultry meat products. PROPOSED ACT: Council Decision. ROLE OF THE EUROPEAN PARLIAMENT: Council may adopt the act only if Parliament has given its consent to the act. BACKGROUND: following the WTO panel report adopted on 19 April 2017 in the WTO dispute settlement proceedings DS492 - measures affecting tariff concessions on certain poultry meat products brought by China against the European Union, the EU needed to comply with the findings. In particular, the panel found that when allocating quantities within tariff rate quotas to supplying countries under WTO rules, the EU should have taken into account as a ‘special factor’ China's increased ability to export poultry products to the EU following the relaxation of sanitary measures in July 2008. The reasonable period of time for the implementation of the Panel Report under the WTO rules began on 19 April 2017. On 12 March 2018, the Council authorised the Commission to open negotiations on a mutually agreed solution with China. Those negotiations were concluded and an agreement in the form of an Exchange of Letters between the European Union and China was initialled on 18 June 2018. The agreement was signed on behalf of the Union subject to its conclusion at a later date. It is now necessary to approve the Agreement on behalf of the European Union. CONTENT: the present proposal calls on the Council to conclude the Agreement in the form of an Exchange of Letters between the European Union and China in relation to DS492 European Union - measures affecting tariff concessions on certain poultry meat products. The Agreement seeks to open the following tariff rate quotas (TRQ): The Commission shall adopt implementing Regulations to expand and manage the relevant quotas. These implementation measures are being prepared in parallel with this proposal. Once the quotas are opened, the EU and China shall notify the Agreement to the WTO Dispute Settlement Body as a mutually agreed solution in relation to the dispute DS492. The Commission also needs to provide for transparent and appropriate tariff quota management. Lastly, the Agreement shall also respect rights of other suppliers, which were agreed in the context of past Article XXVIII GATT negotiations."
2350EP8,"""""EU-Timor-Leste agreement on the short-stay visa waiver""""",0.614,0.887,0.88,0.354,0.096,0.896,0.927,0.75,0.0,1.0,0.0,0.0,"PURPOSE: to conclude the Agreement between the European Union and Timor-Leste on the short-stay visa waiver. PROPOSED ACT: Council Decision. ROLE OF THE EUROPEAN PARLIAMENT: Council may adopt the act only if Parliament has given its consent to the act. BACKGROUND: Regulation (EU) No 509/2014 of the European Parliament and of the Council amended Regulation (EC) No 539/2001 listing the third countries whose nationals must be in possession of visas when crossing the external borders of the Member States and those whose nationals are exempt from that requirement. The Regulation was adopted on 20 May 2014 and entered into force on 9 June 2014. In July 2014, the Commission presented a Recommendation to the Council to authorise it to start negotiations on visa waiver agreements with each of the following 17 countries: Dominica, Grenada, Kiribati, Marshall Islands, Micronesia, Nauru, Palau, Saint Lucia, Saint Vincent and the Grenadines, Samoa, Solomon Islands, Timor-Leste, Tonga, Trinidad and Tobago, Tuvalu, the United Arab Emirates and Vanuatu. On 9 October 2014, the Council addressed negotiating directives to the Commission. The negotiations on the visa waiver agreement with Timor-Leste were opened on 19 November 2014 in Brussels. The agreement was initialled by the chief negotiators on 15 December 2014. The Commission considers that the objectives set by the Council in its negotiating directives were attained and that the draft visa waiver agreement is acceptable to the Union. CONTENT: the Commission proposes that the Council approve the Agreement between the European Union andTimor-Leste on the short-stay visa waiver. The content of the agreement may be summarised as follows: Purpose and duration of stay: the agreement provides for visa-free travel for the citizens of the European Union and for the citizens of Timor-Leste when travelling to the territory of the other Contracting Party for a maximum period of 90 days in any 180-day period. The agreement takes into account the situation of the Member States that do not yet apply the Schengen acquis in full. As long as they are not part of the Schengen area without internal borders, the visa waiver confers a right for the nationals of Timor Leste to stay for 90 days in any 180-day on the territory of each of those Member States (Bulgaria, Croatia, Cyprus and Romania), independently of the period calculated for the whole Schengen area. A provision has been included in the agreement stating that Timor-Leste may suspend or terminate the agreement only in respect of all the Member States of the European Union and that the Union may also only suspend or terminate the agreement in respect of all of its Member States. Scope: the visa waiver covers all categories of persons (ordinary, diplomatic, service/official and special passport holders) travelling for all kinds of purposes, except for the purpose of carrying out a paid activity. For this latter category, each Member State and also Timor-Leste remain free to impose the visa requirement on the citizens of the other Party in accordance with the applicable Union or national law. The Member States and Timor-Leste reserve the right to refuse entry into and short stay in their territories if one or more of these conditions are not met. Territorial application: in the case of France and the Netherlands, the visa waiver would entitle nationals of Timor-Leste to stay only in those Member States’ European territories. The provisions of the Agreement do not apply to the United Kingdom and Ireland. The Agreement establishes a Joint Committee for the management of the Agreement, which shall adopt its rules of procedure."
8205EP8,"""""Temporary reintroduction of border control at internal borders""""",0.0,0.059,0.84,0.333,0.077,0.806,0.853,0.519,0.0,0.0,0.0,0.0,"PURPOSE: to update the Schengen Borders Code to adapt the rules for the reintroduction of temporary internal border controls to the current needs to respond to evolving and persistent serious threats to public policy or internal security. PROPOSED ACT: Regulation of the European Parliament and of the Council. ROLE OF THE EUROPEAN PARLIAMENT: The European Parliament decides in accordance with the ordinary legislative procedure and on an equal footing with the Council. BACKGROUND: due to the secondary movements of irregular migrants and the increase of cross-border terrorist threats posing a serious threat to the internal security of a number of Schengen States, some Members States have been compelled to extend the temporary reintroduction of internal border controls. Based on the current Schengen rules, border controls at internal borders are possible for longer than six months when there are serious deficiencies in the external border management of a Member State, as demonstrated during a Schengen Evaluation. In situations where the serious threat to public policy or internal security is not related to deficiencies in the management of the external borders as demonstrated during a Schengen Evaluation, the reintroduction of border control at internal borders is subject to the conditions and time limits set out in the Schengen Borders Code. While the current rules for the temporary reintroduction of internal border controls have proved sufficient in the vast majority of cases, the maximum periods laid down in the legislation may not be sufficient when Member States face serious and persistent threats to public order or internal security. This is why the Commission considers it necessary to adapt the maximum periods for the temporary reintroduction of border checks to current needs, while ensuring that the use of this measure remains exceptional and is decided only as a last resort. CONTENT: the proposal seeks to update the Schengen Borders Code to prolong the time limits for internal border controls. Stronger procedural safeguards are also being introduced to ensure that border controls at internal borders remain an exception - a measure of last resort - and are used only if necessary and proportionate, limiting the impact on free movement. The Commission proposes: to increase up to one year (instead of six months) the maximum time limit for temporary reintroduction of border control at internal borders for the foreseeable duration of the serious threat and to increase from up to 30 days to up to six months the limit for the length of prolongation periods; to introduce better procedural safeguards in order to ensure that the decision on temporary border control at internal borders or their prolongation is based on a proper risk assessment and is taken in cooperation with the other Member States concerned. Member States will prepare and submit a risk assessment assessing how long the identified threat is expected to persist and which sections of the internal borders are affected and how border control contributed to address the identified threat; to introduce a better follow up to the opinion of the Commission expressing concerns on the necessity or proportionality of border controls being exercised for longer than six months and the consultation procedure involving the Commission, Member States and, as now proposed, relevant Agencies; a new possibility is introduced to extend internal border controls by a maximum period of two years where the serious threat to internal security or public policy persists beyond the one-year deadline , provided that it can be attributed to the same grounds (e.g. threat related to the operation of a cross-border terrorist network) and that commensurate exceptional national measures are taken within the territory to address the threat (such as the state of emergency). Such prolongation would require a Recommendation of the Council, which would need to take into account the opinion given by the Commission, and would be strictly limited to 6 month periods with the possibility to prolong no more than three times up to a maximum period of two years."
6496EP8,"""""EU-Brazil Agreement for scientific and technological cooperation""""",0.914,0.869,0.0,0.625,0.192,0.985,0.654,0.327,0.0,0.0,0.0,0.0,"PURPOSE: to renew the Agreement for scientific and technological cooperation between the European Community and Brazil. PROPOSED ACT: Council Decision. ROLE OF THE EUROPEAN PARLIAMENT: Council may adopt the act only if Parliament has given its consent to the act. BACKGROUND: the Agreement for scientific and technological cooperation between the European Community and Brazil entered into force on 7 August 2007. The Agreement provides that it ‘shall initially be valid for a period of five years and may be renewed by agreement between the Parties after evaluation during the penultimate year of each subsequent renewal period’. The Agreement was last renewed in 2012 and remains in force until 7 August 2017, unless the Parties renew it for the next five-year period. Since the Agreement was last renewed, Brazil has made significant advances in its science, technology and innovation (STI) policy, which has contributed to the institutional strengthening of the STI system. Brazil remains at the forefront of research in the field of agriculture, as well as in tropical and infectious diseases. It is also a world-class player in the fields of information and communication technologies, nanotechnologies and energy and it hosts some of Latin America’s top universities. These research areas are of interest to the European Union. The links between Brazil and the EU in science, technology and innovation have been growing through intense cooperation at EU and Member State level. Cooperation between the EU and the Brazilian research community led, among other results, to the development of a new drug for Chagas disease (already registered with the Food and Drug Administration to start clinical testing) and to the development of a new biomass pre-treatment process for advanced bioethanol (allowing the set-up of the first commercial advanced bioethanol plant in Europe). It is, therefore, in the EU’s interest to renew the Agreement for scientific and technological cooperation between the European Community and Brazil for a new period of five years. This is the purpose of this proposal. CONTENT: with this proposal for a decision, it is planned to call on the Council to renew the Agreement on cooperation in the field of science and technology between the European Community and Brazil for a further period of 5 years. The content of the renewed Agreement is identical to that of the current Agreement. Cooperation would be maintained for the period from 8 August 2017 to 7 August 2022. BUDGETARY IMPACT: the implementation of the Agreement entails a financial envelope of EUR 345 000 from 2017 to 2022 for expenditure on human and administrative resources."
2112EP7,"""""Officially supported export credits""""",0.842,0.886,0.895,0.484,0.364,0.94,0.892,0.657,1.0,0.0,0.0,0.0,"PURPOSE: to update the current Council Decisions in force to reflect the most recent version of the Arrangement on guidelines for officially supported export credits concluded in the framework of the OECD. PROPOSED ACT: Council Decision. BACKGROUND: the Community is a Participant in the Arrangement on Guidelines for Officially Supported Export Credits concluded in the framework of the OECD. The main objective of the Arrangement on guidelines for officially supported export credits is to regulate governments' role in export credits, so that exports reflect quality and prices rather than the most favourable officially supported terms, and hence to establish equal conditions of competition among exporters. The Arrangement has always been incorporated into Community law by way of Council Decision. The current version of the Arrangement applicable in the Community is the Decision (2001/76/EC) of 22 December 2000, which was amended by Council Decision of 22 July 2002 with respect of export credits for ships (2002/634/EC). Decision 2001/76/EC is supplemented by the Decision (2001/77/EC) of 22 December 2000 setting forth specific rules on export credits for project finance. The Arrangement has helped to prevent distortions of competition linked with officially supported export credits. It is regularly updated through negotiations via consensus within the OECD framework. The current Council decisions need to be updated to reflect the most recent version of the Arrangement, i.e. OECD document TD/PG(2005)38/FINAL of 05 December 2005. IMPACT ASSESSMENT: no impact assessment was carried out. LEGAL BASE: Article 133 of the Treaty establishing the European Community. CONTENT: the Commission requests the Council to adopt the draft decision approving the revised Arrangement text and ensuring its application in Community law. The guidelines contained in the Arrangement annexed to this Decision shall apply in the Community. The proposal is of a very technical nature and deals only with finance/insurance rules applicable to officially supported export credits covered by OECD Arrangement. Decision 2001/76/EC and the Annex thereto are replaced by this Decision and its Annex. Decisions 2001/77/EC and 2002/634/EC are repealed. BUDGETARY IMPLICATION: the proposal has no implication for the Community budget."
2526EP9,"""""Establishing the Just Transition Fund""""",0.048,0.94,0.054,0.0,0.281,0.833,0.851,0.049,0.0,0.0,0.0,0.0,"PURPOSE: to establish a Just Transition Fund to assist territories facing economic and social transformation as part of their transition to a climate-neutral economy by 2050. PROPOSED ACT: Regulation of the European Parliament and of the Council. ROLE OF THE EUROPEAN PARLIAMENT: the European Parliament decides in accordance with the ordinary legislative procedure on an equal footing with the Council. BACKGROUND: the transition to a circular, climate-neutral economy is one of the main strategic objectives of the Union. On 12 December 2019, the European Council endorsed the objective of achieving a climate-neutral Union by 2050, in line with the objectives of the Paris agreement. The proposed Regulation implements one of the priorities set out in the Communication of 11 December 2019 on the European Green Deal and is part of the Sustainable Europe Investment Plan, which provides for specific funding under the Just Transition Mechanism in the context of cohesion policy. The Just Transition Mechanism (JTM) shall provide targeted support to the regions and sectors most affected by transition due to their dependence on fossil fuels or industrial processes that are high emitters of greenhouse gases, to help them mobilise at least EUR 100 billion over the period 2021-2027 and thus mitigate the socio-economic impact of transition. The JTM shall be additional to the contribution made by the EU budget through all instruments directly related to the transition, including the European Regional Development Fund (ERDF) and the European Social Fund plus (ESF+). It shall have three main sources of funding: (1) a Just Transition Fund, (2) a dedicated scheme under InvestEU and (3) a Public Sector Loan Facility with the European Investment Bank (EIB). CONTENT: the proposed Regulation aims at establishing the Just Transition Fund (JTF), which is one of the pillars of the Just Transition Mechanism implemented under cohesion policy. Subject matter The aim of the JTF is to mitigate the adverse effects of the climate transition by supporting the most affected territories and workers concerned. In line with the JTF specific objective, actions supported by the JTF should directly contribute to alleviate the impact of the transition by financing the diversification and modernisation of the local economy and by mitigating the negative repercussions on employment. Programming The programming process, including the identification of the territories for intervention and corresponding actions will be agreed in a dialogue between the Commission and each Member State. It will be steered by the European Semester process. Taking into account the Commission’s analysis, Member States shall prepare one or more territorial just transition plans, providing an outline of the transition process until 2030, consistent with the National Energy and Climate Plans and the transition to a climate neutral economy and identifying subsequently the most impacted territories that should be supported. The proposal also establishes a framework for measuring the achievements of the JTF using the relevant indicators and a mechanism for adjusting support if the targets are not met. Scope of support The Fund would essentially provide grants to the regions. The projects funded should contribute to a transition to a circular, climate-neutral economy. The Fund would support, inter alia, the following activities: - productive investments in SMEs, including start-ups, leading to economic diversification and reconversion; - investments in research and innovation activities and in fostering the transfer of advanced technologies; - investments in the deployment of affordable clean energy technologies and infrastructure, in the reduction of greenhouse gas emissions, energy efficiency and renewable energies; - investments in strengthening the circular economy, including through waste prevention and reduction, resource efficiency, reuse, repair and recycling; - the up-skilling and reskilling of the affected workers, with the aim of helping them to adapt to new employment opportunities, as well as providing jobsearch assistance to jobseekers and their active inclusion into the labour market. Budget The Fund shall be endowed with EUR 7.5 billion (at 2018 prices) for the period 2021-2027 in addition to what the Commission has proposed for the next EU Multiannual Financial Framework (MFF). It shall support the ""Investment for jobs and growth"" objective of the new regulation on common provisions (CPR) in all Member States. Member States will complement their Just Transition Fund allocation from their resources under the ERDF and the ESF+ through a specific and definitive transfer mechanism. Member States will also provide national resources to complement the Union resources. The level of Union co-financing will be set according to the category of region in which the identified territories are located. The overall financing capacity of this fund will exceed EUR 30 billion and may reach EUR 50 billion."
8727EP8,"""""Establishing, as part of the Integrated Border Management Fund, the instrument for financial support for customs control equipment""""",0.943,0.914,0.92,0.75,0.154,0.896,0.906,0.212,1.0,0.0,0.0,0.0,"PURPOSE: to establish, as part of the integrated border management fund, the instrument for financial support for customs control equipment for the period 2021-2027. PROPOSED ACT: Regulation of the European Parliament and of the Council. ROLE OF THE EUROPEAN PARLIAMENT: the European Parliament decides in accordance with the ordinary legislative procedure and on an equal footing with the Council. BACKGROUND: in order to respond to increased migratory and security challenges, the Commission has proposed the establishment of a new integrated border management fund under the next multiannual financial framework for the period 2021-2027. This new fund aims to provide enhanced support to Member States with a view to securing the Union’s common external borders. Within this framework, it is proposed that the integrated border management fund shall consist of two instruments: a financial support instrument in the field of border and visa management and a financial support instrument for customs control equipment. This proposal only concerns customs control equipment. The Commission shall at the same time present a separate proposal on the instrument in the field of border management and visas. The 2 140 customs offices that are present over the external borders of the European Union need to be properly equipped to ensure the operation of the customs union. In order to avoid the diversion of flows of goods towards the weakest points, it is essential to ensure equivalence in the performance of customs controls throughout the Customs Union. CONTENT: the proposal for a Regulation - presented for a Union of 27 Member States - seeks to create the financial support instrument for customs control equipment as part of integrated border management fund. It lays down the objectives of the Instrument, the budget for the period 2021 – 2027, the forms of Union funding and the rules for providing such funding. Objective : the proposed instrument aims to ensure greater uniformity in the performance of customs controls at the external borders by addressing the current imbalances between Member States due to geographical differences and disparities in capacity and available resources. It shall complement the actions foreseen under the Customs programme. The specific objective of this instrument is to contribute to adequate and equivalent customs control through the purchase, maintenance and upgrade of customs control equipment. The instrument shall be implemented in direct management, by means of grants. The Commission shall set up a coordination mechanism ensuring efficiency and interoperability between all the equipment purchased with the support of Union programmes and instruments. Eligible equipment : equipment shall be eligible only if it relates to at least one of the six following purposes: (i) non-intrusive inspection; (ii) indication of hidden objects on humans; (iii) radiation detection and nuclide identification; (iv) analysis of samples in laboratories; (v) sampling and field analysis of samples; (vi) handheld search. Annex 1 lays down an indicative list of customs control equipment that may be used to achieve the customs control purposes. The Commission may amend this list by means of delegated acts. In addition to the purchase, maintenance and upgrade of eligible equipment, and where appropriate, the instrument will also support the purchase or upgrade of customs control equipment for testing new pieces or new functionalities in operational conditions. Proposed budget : the Commission’s proposal for the next multi-annual framework includes a proposal of EUR 9.31 billion (in current prices) for the integrated border management fund for the period 2021-2027. Within this global envelope, the financial resources available for the implementation of this specific Regulation amount to EUR 1.3 billion (in current prices)."
10134EP8,"""""Adjustment of annual pre-financing for the years 2021 to 2023""""",0.5,0.787,0.04,0.229,0.058,0.91,0.801,0.077,0.0,0.0,0.0,0.0,"PURPOSE: reduce the annual pre-financing rate for the years 2021 to 2023 (European Structural and Investment Funds). PROPOSED ACT: Regulation of the European Parliament and of the Council. ROLE OF THE EUROPEAN PARLIAMENT: the European Parliament decides in accordance with the ordinary legislative procedure on an equal footing with the Council. BACKGROUND: Regulation (EU) No 1303/2013 of the European Parliament and of the Council defines the common rules applicable to the European Structural and Investment Funds (ESI Funds). Evidence suggests that the annual pre-financing paid to Member States for a given accounting year is set at a particularly high level in comparison with financial management requirements stemming from the implementation of operational programmes; this is in particular the case for the budgetary years 2021 to 2023. This means in practice that payment credits are requested from Member States from payment appropriations in the Union's budget to pay to them annual pre-financing that a year later has to be recovered to a significant extent. Therefore, in order to ease the pressure on payment appropriations in the Union budget for the budgetary years 2021 to 2023 and to enhance the predictability of payment requirements, the Commission proposes that for the last three years of the current implementation period 2021-2023, the annual pre-financing is reduced to the necessary minimum. IMPACT ASSESSMENT: the proposal is not expected to have significant economic, social or environmental impacts. It will result in reducing the annual pre-financing for the proposed years, which will contribute to increasing the predictability of budgetary planning, to a more stable and predictable payment profile, to the reduction of the risk of payment backlogs, to increased transparency in payment needs and, therefore, to better budgetary management. CONTENT: the proposal to amend Regulation (EU) No 1303/2013 aims to decrease the annual pre-financing from 3% of the amount of the support from the Funds and the European Maritime and Fisheries Fund (‘EMFF’) for the whole programming period to the operational programme to 1% for the years 2021-2023. The annual pre-financing for the year 2020 is maintained at 3% of the amount of the support from the Funds and the EMFF for the whole programming period to the operational programme. BUDGETARY IMPLICATIONS: the proposal has no impact on commitment appropriations since no modification is proposed to the maximum amounts of the ESI Funds financing provided for in the operational programmes for the programming period 2014-2020. The amendment proposed will contribute to a reduction in payment appropriations related to the year 2021 entirely due to the reduction of the annual pre-financing amounts which will be compensated by higher payment needs for the year 2024. For the years 2022 and 2023, lower annual pre-financing will be offset in the framework of the examination and acceptance of accounts, therefore the effect is neutral."
1361EP7,"""""EU-Cameroon forest law agreement""""",0.877,0.872,0.93,0.677,0.455,0.964,0.862,0.714,1.0,0.0,0.0,0.0,"PURPOSE: to conclude a Voluntary Partnership Agreement between the EU and Cameroon on forest law enforcement, governance and trade in timber and derived products to the EU (FLEGT). PROPOSED ACT: Council Decision. BACKGROUND: in May 2003 the European Commission published an EU Action Plan for Forest Law Enforcement, Governance and Trade (FLEGT) which called for measures to address illegal logging through the development of voluntary partnership agreements with timber-producing countries. Council conclusions on that Action Plan were adopted in October 2003 and Parliament adopted a resolution on the subject on 11 July 2005. The Action Plan proposes a set of measures that include support for timber-producing countries, multilateral collaboration to tackle trade in illegal timber, support for private sector initiatives and measures to stop investment in activities that encourage illegal logging. The cornerstone of the Action Plan is the establishment of FLEGT partnerships between the European Union and timber-producing countries with the aim of stopping illegal logging. In 2005 the Council adopted Regulation (EC) No 2173/2005 which establishes a licensing scheme and a mechanism to verify the legality of timber imports into the European Union. It is against this background that the Agreement between the European Union and the Republic of Cameroon on forest law enforcement, governance and trade in timber and derived products to the European Union (FLEGT) is hereby approved on behalf of the Union. IMPACT ASSESSMENT: no impact assessment was carried out. LEGAL BASIS: first paragraphs of Article 207(3) and (4), in conjunction with Article 218(6)(a)(v) and Article 218(7) of the Treaty on the Functioning of the European Union. CONTENT: the partnership agreement with Cameroon is the third of its kind to be negotiated, after agreements with Ghana and the Republic of Congo. The Agreement addresses all the elements contained in the Council negotiating directives. In particular, the Agreement establishes the framework, institutions and systems for the FLEGT licensing scheme. It outlines: the supply chain controls, legal compliance framework; independent audit requirements for the system. These are set out in annexes to the Agreement which provide a detailed description of the structures that will underpin the assurance of legality offered by the issuance of a FLEGT licence. Cameroon developed its definition of the applicable legislation by means of extensive stakeholder consultations. It includes laws and regulations granting rights to harvest, forest management, environmental, business and labour legislation, fiscal requirements, respect for tenure and use rights of nearby communities and other social obligations laid down in forest laws, as well as regulations governing commercial activity and export trade requirements. The Agreement goes beyond the limited product coverage proposed in Annex II to Regulation (EC) No 2173/2005 (‘the FLEGT Regulation’) to cover trade in all timber products and, in doing so, commits Cameroon to building a system that will provide assurance to the European Union that all forest products from Cameroon are legally harvested and produced and contributing positively and sustainably to Cameroon’s growth. The agreement also: provides for controls on imports at the European Union’s borders, as established by the FLEGT Regulation and the associated Implementing Regulation (EC) No 1024/2008; includes a description of the Cameroon FLEGT licence which adopts the format laid down in the Implementing Regulation; establishes the mechanism for dialogue and cooperation on FLEGT with the European Union, in the form of the Joint Implementation Council and a consultative body known as the Joint Monitoring Committee; establishes the principles of stakeholder participation, social safeguards and transparency for monitoring impacts and reporting. The Agreement sets out a time frame and the procedures for entry into force of the Agreement and for implementing the licensing scheme. Since Cameroon will upgrade and redesign its regulatory and information management system, introduce more comprehensive supply chain controls and establish independent verification of legal compliance, it will take several years to develop and test the new systems and to build capacity on the part of the government, civil society and the private sector for the tasks envisaged. The FLEGT licence scheme is expected to be fully operational by the beginning of 2012. The licence scheme will be assessed against defined criteria before the EU begins accepting FLEGT licences. The steps and process for this are defined in the Agreement and its annexes. BUDGETARY IMPLICATION: this proposal has no implications for the EU budget."
