Vote ID,Title,ECR%,EPP%,Greens/EFA%,EFD/IDG%,NI%,REG%,S&D%,The Left%,General Majority,Left Majority,Right Majority,Consensus
9662,"""""General Union Environment Action Programme to 2030""""",0.839,0.929,0.932,0.014,0.526,0.954,0.909,0.951,1,0,0,0
996,"""""Request for urgent procedure - Temporary measures concerning the general meetings of European companies (SE) and of European Cooperative Societies (SCE)""""",1.016,0.956,0.919,0.836,0.579,0.944,0.909,0.195,1,0,0,0
9743,"""""Extension of validity of safety certificates and licences of railway undertakings operating in the Channel tunnel""""",1.032,0.956,0.919,0.836,0.667,0.954,0.922,0.902,1,0,0,0
12489,"""""Revision of the Market Stability Reserve for the EU Emissions Trading System""""",0.065,0.846,0.919,0.0,0.439,0.824,0.805,0.634,0,0,0,0
11283,"""""Digital Services Act""""",0.823,0.83,0.905,0.575,0.544,0.935,0.903,0.049,1,0,0,0
9602,"""""European Medicines Agency""""",0.968,0.951,0.932,0.616,0.596,0.954,0.922,0.951,1,0,0,0
8187,"""""EU/Cuba Agreement: modification of concessions on all the tariff-rate quotas included in the EU Schedule CLXXV as a consequence of the United Kingdom's withdrawal from the European Union""""",0.952,0.956,0.946,0.877,0.649,0.944,0.929,0.927,1,0,0,0
858,"""""Request for urgent procedure - Specific measures to mitigate the impact of the COVID-19 outbreak in the fishery and aquaculture sector""""",1.0,0.951,0.892,0.699,0.614,0.935,0.916,0.854,1,0,0,0
6582,"""""InvestEU Programme """"",0.226,0.027,0.0,0.548,0.211,0.037,0.019,0.146,0,0,0,0
9764,"""""European Centre for Disease Prevention and Control""""",0.887,0.951,0.919,0.0,0.544,0.935,0.922,0.829,1,0,0,0
