Vote ID,File,Order of vote,Date,Title,Procedure,Leg/Non-Leg/Bud,Type of Vote,Voting Rule,Rapporteur,Code,Interinstitutional file number,Link,Committee responsabile,De/Policy area,Subject,"Final 
vote?",Am No.,Author,RCV,Vote,Yeas,No,Abs,ECR,EFD/IDG,EPP,Greens/EFA,NI,REG,S&D,The Left,ECR%,EFD/IDG%,EPP%,Greens/EFA%,NI%,REG%,S&D%,The Left%,General Majority,Right Majority,Left Majority,Consensus
1398,41.0,1.0,9.09.2015,Fisheries partnership agreement with Guinea-Bissau: fishing opportunities and financial contribution (recommendation),***,Leg,Draft legislative resolution,s,João Ferreira,A8-0233/2015,2012/0134/NLE,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0233&language=EN,Committee on Fisheries,Fisheries,approbation,1.0,,0,RCV,+,468,104,96,3.0,25.0,177.0,0.0,7.0,43.0,153.0,20.0,0.043,0.521,0.801,0.0,0.135,0.642,0.801,0.385,1,0,0,0
1400,41.0,1.0,9.09.2015,Fisheries partnership agreement with Cape Verde: fishing opportunities and financial contribution (recommendation),***,Leg,Draft legislative resolution,s,van Dalen,A8-0201/2015,2014/0329/NLE,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0201&language=EN,Committee on Fisheries,Fisheries,approbation,1.0,,0,RCV,+,601,54,20,53.0,36.0,185.0,41.0,8.0,46.0,159.0,18.0,0.757,0.75,0.837,0.82,0.154,0.687,0.832,0.346,1,0,0,0
1403,41.0,1.0,9.09.2015,Fisheries partnership agreement with Madagascar: fishing opportunities and financial contribution,***,Leg,Draft legislative resolution,s,Santos,A8-0196/2015,2014/0319/NLE,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0196&language=EN,Committee on Fisheries,Fisheries,approbation,1.0,,0,RCV,+,609,64,20,56.0,43.0,185.0,41.0,11.0,47.0,165.0,5.0,0.8,0.896,0.837,0.82,0.212,0.701,0.864,0.096,1,0,0,0
1404,41.0,1.0,9.09.2015,Protocol amending the Marrakesh agreement establishing the World Trade Organization,***,Leg,Draft legislative resolution,s,Bidegain,A8-0237/2015,2015/0029/NLE,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0237&language=EN,Committee on International Trade,International trade,approbation,1.0,,0,RCV,+,569,99,27,56.0,24.0,188.0,30.0,6.0,47.0,166.0,1.0,0.8,0.5,0.851,0.6,0.115,0.701,0.869,0.019,1,0,0,0
1406,41.0,1.0,9.09.2015,"Authorisation for Austria, Belgium and Poland to ratify, or to accede to, the Convention on the contract for the carriage of goods by inland waterways (CMNI)",***,Leg,Draft legislative resolution,s,Svoboda,A8-0231/2015,2014/0345/NLE,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0231&language=EN,Committee on Legal Affairs,Legal affairs,approbation,1.0,,0,RCV,+,670,22,5,60.0,44.0,190.0,42.0,14.0,48.0,167.0,40.0,0.857,0.917,0.86,0.84,0.269,0.716,0.874,0.769,1,0,0,0
1315,84.0,1.0,9.06.2016,Promoting free movement by simplifying the acceptance of certain public documents,***II,Leg,Draft legislative resolution,q,Delvaux,A8-0156/2016,2013/0119/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2016-0156&language=EN,Committee on Legal Affairs,Legal affairs,Proposal to reject the Council position,0.0,1,ENF,RCV,-,48,565,4,24.0,25.0,172.0,43.0,7.0,13.0,156.0,43.0,0.343,0.521,0.778,0.86,0.135,0.194,0.817,0.827,1,0,0,0
1316,84.0,1.0,9.06.2016,Transfer to the General Court of jurisdiction at first instance in EU civil service cases,***I,Leg,Draft legislative resolution,s,Delvaux,A8-0167/2016,2015/0906/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2016-0167&language=EN,Committee on Legal Affairs,Legal affairs,vote: legislative resolution,1.0,,0,RCV,+,456,99,61,25.0,2.0,173.0,0.0,1.0,0.0,0.0,0.0,0.357,0.042,0.783,0.0,0.019,0.0,0.0,0.0,0,1,0,0
913,33.0,1.0,9.06.2015,Adjustment rate for direct payments in respect of 2015,***I,Leg,Draft legislative resolution,s,Siekierski,A8-0174/2015,2015/0070/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0174&language=EN,Committee on Agriculture and Rural Development,Agriculture,single vote,1.0,,0,RCV,+,544,78,9,34.0,15.0,171.0,35.0,8.0,45.0,151.0,38.0,0.486,0.312,0.774,0.7,0.154,0.672,0.791,0.731,1,0,0,0
928,70.0,1.0,9.03.2016,Reduction in the sulphur content of certain liquid fuels,***I,Leg,Draft legislative resolution,s,Ferrara,A8-0037/2016,2014/0216/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2016-0037&language=EN,Committee on Legal Affairs,Legal affairs,single vote,1.0,,0,RCV,+,665,24,5,22.0,0.0,95.0,0.0,0.0,36.0,10.0,0.0,0.314,0.0,0.43,0.0,0.0,0.537,0.052,0.0,0,0,0,0
929,70.0,1.0,9.03.2016,Trade diversion into the European Union of certain key medicines,***I,Leg,Draft legislative resolution,s,Ferrara,A8-0038/2016,2014/0165/COD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2016-0038&language=EN,Committee on Legal Affairs,Legal affairs,single vote,1.0,,0,RCV,+,664,29,4,47.0,14.0,185.0,36.0,10.0,45.0,155.0,40.0,0.671,0.292,0.837,0.72,0.192,0.672,0.812,0.769,1,0,0,0
