Vote ID;File;Order of vote;Date;Title;Procedure;Leg/Non-Leg/Bud;Type of Vote;Voting Rule;Rapporteur;Code;Interinstitutional file number;Link;Committee responsabile;Policy area;Subject;Final vote?;Am No.;Author;RCV;Vote;Yes;No;Abs;ECR;EFD/IDG;EPP;Greens/EFA;NI;REG;S&D;The Left;ECR%;EFD/IDG%;EPP%;Greens/EFA%;NI%;REG%;S&D%;The Left%;General Majority;Right Majority;Left Majority;Consensus;Report link;Summary link;Summary text
836;31;1;"""""16.04.2020""""";"""""Request for urgent procedure - Regulation Amendmentending the Multiannual financial framework 2014-2020""""";"""""***""""";"""""Leg""""";"""""Proposal for a decision""""";"""""s""""";"""""Olbrycht/Marques""""";"""""C9-0110/202""""";"""""2020/0055/APP""""";"""""https://www.europarl.europa.eu/doceo/document/TA-9-2020-0044_EN.html""""";"""""Committee on Budgets""""";"""""Budget""""";"""""vote: Commission proposal""""";1;;0;"""""RCV""""";"""""+""""";671;13;1;62;52;173;67;37;101;141;38;1;0.712;0.951;0.905;0.649;0.935;0.916;0.927;1;0;0;0;"https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.do?lang=en&reference=""""2020/0055(APP"""")";https://oeil.secure.europarl.europa.eu/oeil/popups/summary.do?id=1613915&t=e&l=en;purpose: to amend regulation (eu, euratom) no 1311/2013 laying down the multiannual financial framework for the years 2014-2020. proposed act: council regulation. role of the european parliament: council may adopt the act only if parliament has given its consent to the act. background: the covid-19 outbreak and the associated public health and economic crisis, which require extraordinary measures to be taken, have put great pressure on the available financial resources within and outside the multiannual financial framework (mff) ceilings. in order for the union to be able to finance an appropriate response to the covid-19 outbreak and the associated public health and economic crisis, it is necessary to modify the purpose for which the available appropriations under the global margin for commitments can be used, insofar as it refers to growth and employment, in particular youth employment, and to migration and security measures. this draft regulation is directly linked to financing included in amending budget no 2 to the general budget of the union for 2020 in the framework of which the global margin for commitments is mobilised to finance measures in the context of the covid-19 outbreak. it should also be noted that in order to provide urgent financing, it was considered appropriate to provide for a derogation from the eight-week period referred to in article 4 of protocol no 1 on the role of national parliaments in the european union. this period refers to elapse of time between a draft legislative act being made available to national parliaments and the date when it is placed on a provisional agenda for the council for its adoption or for adoption of a position under a legislative procedure. content: the council proposes that regulation (eu, euratom) no 1311/2013 (mff regulation) should therefore be amended to stipulate that the commitment appropriations may be entered in the budget over and above the ceilings of the relevant headings laid down in the mff where it is necessary to use the resources from the emergency aid reserve, the european union solidarity fund, the flexibility instrument, the european globalisation adjustment fund, the contingency margin, the specific flexibility to tackle youth unemployment and strengthen research and the global margin for commitments. margins left available below the mff ceilings for commitment appropriations shall constitute a global margin for commitments, to be made available over and above the ceilings established in the mff for the years 2016 to 2020.
882;31;1;"""""16.04.2020""""";"""""Regulation Amendmentending the Multiannual financial framework 2014-2020""""";"""""***I""""";"""""Leg""""";"""""Draft legislative resolution""""";"""""s""""";"""""Olbrycht/Marques""""";"""""C9-0110/202""""";"""""2020/0055/APP""""";"""""https://www.europarl.europa.eu/doceo/document/PV-9-2020-04-16_EN.pdf""""";"""""Committee on Budgets""""";"""""Budget""""";"""""single vote""""";1;;0;"""""RCV""""";"""""+""""";464;11;4;49;48;95;39;31;80;95;27;0.79;0.658;0.522;0.527;0.544;0.741;0.617;0.659;0;0;0;0;"https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.do?lang=en&reference=""""2020/0055(APP"""")";https://oeil.secure.europarl.europa.eu/oeil/popups/summary.do?id=1613915&t=e&l=en;purpose: to amend regulation (eu, euratom) no 1311/2013 laying down the multiannual financial framework for the years 2014-2020. proposed act: council regulation. role of the european parliament: council may adopt the act only if parliament has given its consent to the act. background: the covid-19 outbreak and the associated public health and economic crisis, which require extraordinary measures to be taken, have put great pressure on the available financial resources within and outside the multiannual financial framework (mff) ceilings. in order for the union to be able to finance an appropriate response to the covid-19 outbreak and the associated public health and economic crisis, it is necessary to modify the purpose for which the available appropriations under the global margin for commitments can be used, insofar as it refers to growth and employment, in particular youth employment, and to migration and security measures. this draft regulation is directly linked to financing included in amending budget no 2 to the general budget of the union for 2020 in the framework of which the global margin for commitments is mobilised to finance measures in the context of the covid-19 outbreak. it should also be noted that in order to provide urgent financing, it was considered appropriate to provide for a derogation from the eight-week period referred to in article 4 of protocol no 1 on the role of national parliaments in the european union. this period refers to elapse of time between a draft legislative act being made available to national parliaments and the date when it is placed on a provisional agenda for the council for its adoption or for adoption of a position under a legislative procedure. content: the council proposes that regulation (eu, euratom) no 1311/2013 (mff regulation) should therefore be amended to stipulate that the commitment appropriations may be entered in the budget over and above the ceilings of the relevant headings laid down in the mff where it is necessary to use the resources from the emergency aid reserve, the european union solidarity fund, the flexibility instrument, the european globalisation adjustment fund, the contingency margin, the specific flexibility to tackle youth unemployment and strengthen research and the global margin for commitments. margins left available below the mff ceilings for commitment appropriations shall constitute a global margin for commitments, to be made available over and above the ceilings established in the mff for the years 2016 to 2020.
2836;47;1;"""""05.10.2020""""";"""""European Parliament delegation to the Conciliation Committee""""";"""""***I""""";"""""Leg""""";"""""Draft legislative resolution""""";"""""s""""";"""""Brudziński""""";"""""A9-0171/2020""""";"""""2020/0140/COD""""";"""""https://www.europarl.europa.eu/doceo/document/A-9-2020-0171_EN.html""""";"""""Committee on Civil Liberties, Justice and Home Affairs""""";"""""Civil liberties, justice & home affairs""""";"""""single vote""""";1;;0;"""""RCV""""";"""""+""""";634;39;16;57;25;176;68;29;102;140;37;0.919;0.342;0.967;0.919;0.509;0.944;0.909;0.902;1;0;0;0;"https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.do?lang=en&reference=""""2020/0140(COD"""")";https://oeil.secure.europarl.europa.eu/oeil/popups/summary.do?id=1624604&t=e&l=en;purpose: to enable a maximum use of funds to address the effects of the unprecedented public health crisis resulting from the covid-19 outbreak. proposed act: regulation of the european parliament and of the council. role of the european parliament: the european parliament decides in accordance with the ordinary legislative procedure on an equal footing with the council. background: the covid-19 pandemic has consequences for migration, security and border management in the member states. it requires that measures be taken to support member states in the implementation of funds by strengthening the possibility to make full use of the available implementation period until the closure of the programmes on 31 december 2023. in this respect, it is appropriate to ensure that the n+2 rule is fully used so as to provide member states sufficient time for the implementation of their allocations and declaration of the expenditure to the commission. content: the proposal to amend regulation (eu) no 514/2014 of the european parliament and of the council aligns the deadlines for payment requests and decommitment and it adjusts the date of commitment of the additional allocations in 2018 and 2019, which have been granted to address unforeseen needs in the areas covered by the asylum, migration and integration funds and the internal security fund. the proposed amendment aims to ensure that: - all payment requests covering the year n+2 submitted by member state within the regulatory deadlines set out in art. 44 of regulation 514/2014 are taken into account when calculating the decommitment
8736;89;2;"""""08.06.2021""""";"""""ETIAS consequential amendments: ECRIS-TCN""""";"""""***I""""";"""""Leg""""";"""""Draft legislative resolution""""";"""""s""""";"""""Lenaers""""";"""""A9-0083/2021""""";"""""2019/0001B/COD""""";"""""https://www.europarl.europa.eu/doceo/document/A-9-2021-0083_EN.html""""";"""""Committee on Civil Liberties, Justice and Home Affairs""""";"""""Civil liberties, justice & home affairs""""";"""""vote: Commission proposal""""";1;;0;"""""RCV""""";"""""+""""";441;119;136;64;63;174;0;32;99;9;0;1.032;0.863;0.956;0;0.561;0.917;0.058;0;0;1;0;0;"https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.do?lang=en&reference=""""2019/0001B(COD"""")";https://oeil.secure.europarl.europa.eu/oeil/popups/summary.do?id=1656713&t=e&l=en;the committee on civil liberties, justice and home affairs adopted the report by jeroen lenaers (epp, nl) on the proposal for a regulation of the european parliament and of the council amending regulations (eu) 2019/816 and (eu) 2019/818 as regards the establishment of the conditions for accessing other eu information systems for the purposes of the european travel information and authorisation system. on 11 february 2021, the conference of presidents took the decision to authorise the committee on civil liberties, justice and home affairs to split the commission proposal into two parts and to draw up two separate legislative reports on this basis. as a reminder, regulation (eu) 2018/1240 of the european parliament and of the council established the european travel information and authorisation system (etias) for third-country nationals exempt from the requirement to be in possession of a visa when crossing external borders. it laid down the conditions and procedures for issuing or refusing a travel authorisation under that system. etias enables consideration of whether the presence of those third-country nationals in the territory of the member states would pose a security, illegal immigration or high epidemic risk. in order to enable the processing of application files by the etias central system, the proposed amending regulation defines the modalities of interoperability between the etias information system, other eu information systems and europol data, as well as the conditions for the consultation of data stored in other eu information systems and europol data should be implemented in the etias automated processing for the purpose of identifying hits. accordingly, this regulation amends regulations (eu) 2019/816 and (eu) 2019/818 of the european parliament and of the council in order to connect the etias central system to the other eu information systems and to europol data and to specify the data that will be sent to and from those eu information systems and europol data. the committee responsible recommended that the european parliament's position adopted at first reading under the ordinary legislative procedure should amend the proposal as follows: subject matter of regulation (eu) 2019/816 the amendments introduced clarify that regulation (eu) 2019/816 establishes the conditions under which data contained in the european criminal records information system for third-country nationals (ecris-tcn) may be used by the etias central unit in order to allow for a thorough assessment of the security risks posed by applicants before their arrival at external border crossing points. entry of data in the ecris-tcn for each convicted third-country national, the central authority of the convicting member state is required to create a data file in the central system. this file should contain a flag indicating that the third-country national concerned has been convicted in the past 25 years of a terrorist offence or in the previous 15 years of any other criminal offence listed in the annex to regulation (eu) 2018/1240, where those criminal offences are punishable under national law by a custodial sentence or a detention order for a maximum period of at least three years, and in those cases the code of the convicting member state(s). flags and the code of the convicting member state(s) should be accessible and searchable only by the visa information system (vis) and the etias system for verification purposes. retention period of stored data the flags should be erased automatically upon the expiry of the retention period referred to in paragraph 1 of this article or at the latest, 25 years after the creation of the flag, as far as convictions related to terrorist offences are concerned, and 15 years after the creation of the flag, as far as convictions related to other serious criminal offences are concerned each ecris-tcn data processing operation in the common identity records (cir) and etias should be recorded.
9885;98;1;"""""15.09.2021""""";"""""Visa Facilitation Agreement between the EU and Cabo Verde""""";"""""***""""";"""""Leg""""";"""""Draft legislative resolution""""";"""""s""""";"""""López Aguilar""""";"""""A9-0264/2021""""";"""""2020/0319/NLE""""";"""""https://www.europarl.europa.eu/doceo/document/A-9-2021-0264_EN.html""""";"""""Committee on Civil Liberties, Justice and Home Affairs""""";"""""Civil liberties, justice & home affairs""""";"""""vote: consent""""";1;;0;"""""RCV""""";"""""+""""";533;107;47;58;23;173;3;26;101;139;10;0.935;0.315;0.951;0.041;0.456;0.935;0.903;0.244;1;0;0;0;"https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.do?lang=en&reference=""""2020/0319(NLE"""")";https://oeil.secure.europarl.europa.eu/oeil/popups/summary.do?id=1642789&t=e&l=en;purpose: to conclude the agreement between the european union and the republic of cabo verde amending the agreement between the european union and the republic of cape verde on the facilitation of the issuance of short-stay visas to the citizens of the republic of cape verde and the european union. proposed act: council decision. role of the european parliament: council may adopt the act only if parliament has given its consent to the act. background: the special partnership between the eu and cabo verde was approved by the council of the european union on 19 november 2007. one of its objectives is to increase mobility and people-to-people contacts between citizens of the union and cabo verde, as well as to strengthen cooperation in the fight against illegal immigration. on 1 december 2014, the agreement between the european union and the republic of cape verde on the facilitation of issuance of short-stay visas to citizens of the republic of cape verde and the european union entered into force. after almost 5 years of implementation of these agreements and in light of the supervened changes of both the eu and cabo verde’s domestic legislation related to visas, namely the revision of the eu’s visa code 3 and cabo verde decision to exempt eu citizens from the visa requirement for stays up to 30 days, the joint committee set up by the existing agreement explored the need to amend certain rules thereby established, with a view to adapt it to the changed circumstances. on that basis, the commission presented on 13 september 2019, a recommendation to the council with a view to obtaining directives to negotiate an agreement amending the existing visa facilitation agreement with the republic of cabo verde. the council having given its authorisation, the chief negotiators reached an agreement in principle on the draft text of the agreement, initialled on 24 july 2020 through an exchange of e-mails. content: the commission proposes that the council approve the conclusion of the agreement between the european union and the republic of cabo verde amending the agreement between the european union and the republic of cape verde on the facilitation of the issuance of short-stay visas to the citizens of the republic of cape verde and the european union. the purpose of the agreement is to facilitate, on the basis of reciprocity, the issuance of visas for an intended stay of no more than 90 days in any 180-day period. the agreement provides for the following: - the reduction of the visa fee for processing applications to 75% of the amount to be charged in accordance with the applicable domestic (i.e. eur 60 for cabo verdean citizens)
12409;125;1;"""""24.03.2022""""";"""""Refugees in Europe: CARE""""";"""""***I""""";"""""Leg""""";"""""Draft legislative resolution""""";"""""s""""";0;"""""C9-0057/2022""""";"""""2022/0075/COD""""";0;"""""Committee on Regional Development""""";"""""Regional development""""";"""""Vote: Commission proposal""""";1;;0;"""""RCV""""";"""""+""""";562;2;3;50;48;144;58;25;86;116;35;0.806;0.658;0.791;0.784;0.439;0.796;0.753;0.854;1;0;0;0;"https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.do?lang=en&reference=""""2022/0075(COD"""")";https://oeil.secure.europarl.europa.eu/oeil/popups/summary.do?id=1695740&t=e&l=en;purpose: facilitate the use of resources from the cohesion policy and the european aid to the most deprived (fead) to support measures to address migratory challenges as a result of the military aggression by russia. proposed act: regulation of the european parliament and of the council. role of the european parliament: the european parliament decides in accordance with the ordinary legislative procedure and on an equal footing with the council. background: russia’s recent military aggression against ukraine and the ongoing armed conflict has fundamentally changed the security situation in europe. as a result of the aggression, the european union, and its eastern regions in particular, is facing a substantial inflow of persons. secondly, the covid-19 pandemic has lasted longer than could have been expected in 2020. the direct and indirect effects of the pandemic persist in all member states, requiring prolonged public support for recovery in the most affected territories and economic sectors. this has put considerable pressure on member states' budgets. while the flexibility and additional resources provided for the period 2014-2020 have helped member states in their crisis response and recovery efforts, the emergence of new variants of the coronavirus, notably the omicron variant, as well as the general tightening of restrictions in the last quarter of 2021, have continued to have serious negative effects on member states’ economies and societies and hampered a normal implementation of cohesion policy programmes and of programmes supported by the fead. the recent military aggression by russia and the resulting migration flows have exacerbated these effects and risk further undermining economic recovery. therefore, support from the funds should be mobilised quickly to ease the burden on national budgets. content: the proposal aims to: - facilitate the use of cohesion policy and fead resources by member states and regions to support measures to address migratory challenges as a result of the military aggression by russia
12415;125;6;"""""24.03.2022""""";"""""More flexible use of funds under the AMIF Regulations in light of the war in Ukraine""""";"""""***I""""";"""""Leg""""";"""""Draft legislative resolution""""";"""""s""""";0;"""""C9-0056/2022""""";"""""2022/0077/COD""""";0;"""""Committee on Civil Liberties, Justice and Home Affairs""""";"""""Civil liberties, justice & home affairs""""";"""""Vote: Commission proposal""""";1;;0;"""""RCV""""";"""""+""""";575;4;3;51;49;149;62;25;88;118;33;0.823;0.671;0.819;0.838;0.439;0.815;0.766;0.805;1;0;0;0;"https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.do?lang=en&reference=""""2022/0077(COD"""")";https://oeil.secure.europarl.europa.eu/oeil/popups/summary.do?id=1695734&t=e&l=en;purpose: optimise the use of the home affairs funds 2014-2020 in the context of the mass influx of displaced persons from ukraine to eu member states. proposed act: regulation of the european parliament and of the council. role of the european parliament: the european parliament decides in accordance with the ordinary legislative procedure and on an equal footing with the council. background: russia's invasion of ukraine on 24 february 2022 has led to a massive influx of displaced persons from ukraine into several member states. this places renewed pressure on the financial resources of member states to deal with urgent migration, border management and security needs. taking into account the nature and dimension of the crisis, these unforeseen needs will persist beyond 2022. this invasion has given rise to increased needs in areas, such as migration and border management, directly covered by the home affairs funds (2014-2020). the commission considers it necessary to widen the scope of use of home affairs funds as much as possible, by extending the period of eligibility and by unblocking access to unspent earmarked resources, thus avoiding the loss of unused funding following decommitment. this overall flexibility is necessary to ensure a comprehensive approach to migration management, based on mutual trust, solidarity and shared responsibility between member states and eu institutions. content: the proposal aims to support member states to address the consequences of the war in ukraine, by facilitating access to unspent financial resources for the 2014-2020 programming period under the asylum, migration and integration fund (amif) and the internal security fund insofar as it concerns the instrument for financial support for external borders and visa, 2 as well as the internal security fund insofar as it concerns the instrument for financial support for police cooperation, preventing and combating crime, and crisis management. specifically, the proposal aims to: - extend the implementation period of the home affairs funds 2014-2020 by one year. this extension will enable member states to urgently utilise remaining funds to help address the increased pressure on their border and migration management systems arising from the invasion in ukraine
12524;127;1;"""""07.04.2022""""";"""""Increased pre-financing from REACT-EU""""";"""""***I""""";"""""Leg""""";"""""Draft legislative resolution""""";"""""s""""";0;"""""C9-0127/2022""""";"""""2022/0096/COD""""";0;"""""Committee on Regional Development""""";"""""Regional development""""";"""""vote: Commission proposal""""";1;;0;"""""RCV""""";"""""+""""";549;1;8;48;33;145;63;28;89;113;30;0.774;0.452;0.797;0.851;0.491;0.824;0.734;0.732;1;0;0;0;"https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.do?lang=en&reference=""""2022/0096(COD"""")";https://oeil.secure.europarl.europa.eu/oeil/popups/summary.do?id=1697941&t=e&l=en;purpose: to provide for an increased amount of pre-financing to be paid under react-eu, which is needed to help member states meet the challenges posed by the exceptionally high number of people fleeing the war in ukraine and to support their transition to a resilient economic recovery from the covid-19 pandemic. proposed act: regulation of the european parliament and of the council. role of the european parliament: the european parliament decides in accordance with the ordinary legislative procedure and on an equal footing with the council. background: due to the recent military aggression by russia against ukraine, the european union and in particular its eastern regions are facing a massive influx of people. this poses an additional challenge for public budgets at a time when member states’ economies are still recovering from the impact of the covid-19 pandemic and risks undermining the preparation of a green, digital and resilient recovery of the economy. member states are already able to finance a broad range of investments to address migratory challenges under their operational programmes with support from the european regional development fund (erdf), the european social fund (esf) and the fund for european aid to the most deprived (fead), including from the additional resources made available as recovery assistance for cohesion and the territories of europe (react-eu). the commission has already taken steps to assist member states in this regard, through its ‘cohesion action for refugees in europe’ (care) initiative of 8 march 2022. notwithstanding the room for manoeuvre offered by the care package, member states face additional immediate budgetary pressures arising from the management of mass arrivals of people fleeing ukraine. therefore, support from the funds should be mobilised quickly to ease the burden on national budgets. the commission therefore considers it necessary, as a temporary and exceptional measure, to increase the amount of pre-financing paid under react-eu for all member states. background: this proposal provides for exceptional and targeted changes to the 2014-2020 legal framework established for the european structural and investment funds and for the fund for the european aid to the most deprived (fead) in response to the invasion of ukraine by the russian federation and the subsequent impact on the european union and several of its eastern regions in particular. it is proposed to amend regulations (eu) no 1303/2013 and (eu) no 223/2014 in order to provide for an increased percentage of pre-financing to be paid under react-eu, which is necessary to respond to this unprecedented situation. in addition to the initial pre-financing, the commission will pay 4% of the react-eu resources allocated to programmes for the year 2021 as additional initial pre-financing in 2022. for programmes in member states which have had a level of arrivals of persons from ukraine greater than 1% of their national population between 24 february 2022 and 23 march 2022, that percentage shall be increased to 34%. in order to monitor the use of this additional pre-financing, the final reports on the implementation of erdf and esf programmes benefiting from such pre-financing should include information on how the additional amounts received have been used to address the migration challenges linked to russia's military aggression and have contributed to the recovery of the economy. budgetary implications: this proposal only concerns react-eu, which is financed by the european recovery instrument nextgenerationeu. the additional initial pre-financing payments in 2022 will be financed from external assigned revenues. all amounts will be available as external assigned revenues, within the meaning of the financial regulation stemming from the next generationeu borrowing operations. the amount paid as additional initial pre-financing will be totally cleared from the commission accounts not later than when the operational programme is closed, such that the total amount of payments made under react-eu will remain unchanged with this proposal. similarly, the total commitment appropriations under react-eu will not be modified.
545;24;1;"""""15.04.2015""""";"""""Amendment of the MFF 2014-2020""""";"""""***""""";"""""Leg""""";"""""Draft legislative resolution""""";"""""q""""";"""""Olbrycht/I.Thomas""""";"""""A8-0125/2015""""";"""""2015/0010/APP""""";"""""http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0125&language=EN""""";"""""Committee on Budgets""""";;"""""approbation""""";;;0;"""""RCV""""";"""""+""""";591;24;28;61;18;191;46;11;54;172;38;0.871;0.375;0.864;0.92;0.212;0.806;0.901;0.731;1;0;0;0;"https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.do?lang=en&reference=""""2015/0010(APP"""")";https://oeil.secure.europarl.europa.eu/oeil/popups/summary.do?id=1378252&t=e&l=en;purpose: to amend regulation (eu, euratom) no 1311/2013 laying down the multiannual financial framework for the years 2014-2020. proposed act: council regulation. role of the european parliament: council may adopt the act only if parliament has given its consent to the act. content: article 19 of council regulation no 1311/2013 stipulates that in the event of the adoption after 1 january 2014 of new rules or programmes under shared management for the structural funds, the cohesion fund, the european agricultural fund for rural development, the european maritime and fisheries fund, the asylum and migration fund and the internal security fund, the mff shall be revised in order to transfer to subsequent years, in excess of the corresponding expenditure ceilings, allocations not used in 2014. the revision concerning the transfer of unused allocation for the year 2014 shall be adopted before 1 may 2015. it thus applies to programmes adopted after 1 january 2014 even when the relevant legal act was adopted by that time. moreover, ‘rules’ covers not only the basic legislative acts laying down the provisions for implementing the funds concerned, but also implementing and delegated acts, to the extent to which they are a prerequisite for preparing or finalising the programmes. consequently, this provision also applies to funds from the specific allocation for the youth employment initiative as the legal basis is the same as for programmes. it also applies to the fund for european aid to the most deprived (fead) as its commitments originate from the structural funds and are implemented under shared management. article 19 also covers contributions from the erdf to the cross-border and sea-basin programmes established under the european neighbourhood instrument and the instrument for pre-accession assistance as those amounts are part of national allocations defined in article 91(2) of the esi funds’ common provisions regulation (cpr). it should be noted that article 19 does not impose any constraints as to the profile of the transfer of allocations to subsequent years. amounts concerned: as a result of such late adoption: this proposal seeks to amend annex to regulation (eu, euratom) no 1311/2013 by transferring the commitment appropriations not used in 2014 to subsequent years for sub-heading 1b, heading 2 and heading 3. n.b. the commission proposes to transfer the bulk of the allocations not used in 2014 to year 2015 in order to keep the pace of investments for growth and jobs, minimise differences of treatment with programmes adopted in 2014 and ensure equal treatment with programmes whose 2014 commitment tranche is carried-over in accordance with article 13 of the financial regulation. an annex sets outs details of the amounts transferred by the funds concerned and by year of transfer. implications on payments: concerning the implications on payments in 2015, they will be covered within the voted budget for 2015. the first initial pre-financing that has not been paid in 2014 will have to be paid in 2015 together with the second pre-financing. however, the corresponding unused appropriations in 2014 have been used by transfers to reduce the backlog of unpaid bills from the previous period 2007-2013 and the reverse operation could be done, if need be, in 2015 to cover the pre-financings. the medium and longer term implications on interim payments of the transfer are more difficult to predict. the legislative acts laying down the provisions for implementing the funds contain provisions for the automatic decommitment of appropriations not used within a given deadline, which is of n+3 years for the esi funds and of n+2 years for the amif and the isf. this could in principle result in a shift of payments from one year to another without this lowering the overall needs over the 2014-2020 period. on the other hand, the real pace of implementation will not be pre-determined by the transfer. for these reasons, the commission does not propose to revise the payment ceilings. it will review the situation regularly in the light of implementation and make proposals if appropriate in accordance with the relevant provisions of the mff regulation.
1606;45;1;"""""6.10.2015""""";"""""ILO Forced Labour Convention: judicial cooperation in criminal matters""""";"""""***""""";"""""Leg""""";"""""Draft legislative resolution""""";"""""s""""";"""""Stevens""""";"""""A8-0226/2015""""";"""""2014/0258/NLE""""";"""""http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2015-0226&language=EN""""";"""""Committee on Civil Liberties, Justice and Home Affairs""""";;"""""approbation""""";;;0;"""""RCV""""";"""""+""""";651;5;37;46;49;200;49;18;63;178;48;0.657;1.021;0.905;0.98;0.346;0.94;0.932;0.923;0;0;0;0;"https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.do?lang=en&reference=""""2014/0258(NLE"""")";https://oeil.secure.europarl.europa.eu/oeil/popups/summary.do?id=1382401&t=e&l=en;purpose: to authorise member states to ratify, in the interest of the european union, the protocol of 2014 to the forced labour convention, 1930, of the international labour organisation (ilo) with regard to matters related to judicial cooperation in criminal matters. proposed act: council decision. role of the european parliament: the european parliament decides in accordance with the ordinary legislative procedure and on an equal footing with the council. background: the forced labour convention, 1930 (no 29) of the ilo is one of the ilo’s eight fundamental conventions that make up the core international labour standards, and it is considered a human rights instrument.. yet, more than 80 years later, despite almost universal ratification of the convention, the practice still exists, albeit in different forms to those that provoked such concern in the early twentieth century. the ilo estimates that at least 20.9 million people globally are victims of forced labour. in 2014, the international labour conference adopted the protocol on the forced labour convention seeks to address gaps in implementation and to make progress on preventing trafficking for labour exploitation and protecting and compensating victims of forced labour. the european union (eu) is committed to promoting human rights and decent work and to eradicating trafficking in human beings, both internally and in its external relations. in ratifying ilo conventions and related protocols, eu member states send an important signal on the coherence of the eu’s policy in promoting fundamental principles and rights at work and improving working conditions worldwide. content: the proposed decision seeks to authorise the member states to ratify the protocol of 2014 to the forced labour convention, 1930, of the international labour organisation. the protocol is a binding international agreement, subject to ratification, and is linked to the convention. it creates legal obligations applicable to ratifying states and can only be ratified by states that have ratified the convention. in accordance with case law of the court of justice of the european union (ecj), and more specifically on concluding and ratifying an ilo convention, member states are not able to decide to ratify the protocol outside the framework of the eu’s institutions, as parts of the protocol fall into areas of eu competence. however, the eu as such cannot ratify an ilo protocol, because under the ilo rules only states can be parties to such protocols. the protocol’s provisions strengthen the international legal framework by establishing obligations to prevent forced labour and to provide victims with protection and access to remedies, such as compensation. the protocol sets out the measures that ilo member states must take to prevent forced labour, namely: the protocol addresses areas of eu law that are already subject to an advanced degree of regulation: (i) certain aspects relating to judicial cooperation in criminal matters, in respect of which eu law sets minimum standards on anti-trafficking and victims’ rights
