job_id,train_loss,valid_loss,train_accuracy,valid_mean_token_accuracy
ftjob-GXjMS97heBGSRcXSj0a9eFvU,0.27403,0.26033,0.925,0.92693
ftjob-ORbrKicdOcpRWKUqcFkhCwKG,0.26207,0.27851,0.93056,0.92768
ftjob-ORbrKicdOcpRWKUqcFkhCwKG,0.26384,0.28382,0.92222,0.92634
ftjob-MWW3uqYEdflxMO1kCb40D8K4,0.28921,0.27074,0.92171,0.93118
ftjob-MWW3uqYEdflxMO1kCb40D8K4,0.27664,0.28335,0.92708,0.92596
ftjob-MWW3uqYEdflxMO1kCb40D8K4,0.288,0.27439,0.925,0.92805
ftjob-MWW3uqYEdflxMO1kCb40D8K4,0.27747,0.28564,0.92909,0.92292
ftjob-ORbrKicdOcpRWKUqcFkhCwKG,0.27163,0.29183,0.93041,0.92136
ftjob-ORbrKicdOcpRWKUqcFkhCwKG,0.272,0.29282,0.92618,0.92206
ftjob-ORbrKicdOcpRWKUqcFkhCwKG,0.28344,0.28182,0.92768,0.92703
