,Unnamed: 0,step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy,job_id,hyperparameter_combination
0,0,1,2.61574,0.48101,2.58798,0.49057,ftjob-eSvP928XjAyFyB7Ir44G6DBP,"lr: 5.0, epochs: 4, batch: 1"
1,1,2,2.12901,0.54639,2.03915,0.60714,ftjob-eSvP928XjAyFyB7Ir44G6DBP,"lr: 5.0, epochs: 4, batch: 1"
2,2,3,1.71263,0.61742,1.90439,0.62887,ftjob-eSvP928XjAyFyB7Ir44G6DBP,"lr: 5.0, epochs: 4, batch: 1"
3,3,4,2.10764,0.61039,1.57521,0.64646,ftjob-eSvP928XjAyFyB7Ir44G6DBP,"lr: 5.0, epochs: 4, batch: 1"
4,4,5,2.33074,0.42857,2.39481,0.49057,ftjob-eSvP928XjAyFyB7Ir44G6DBP,"lr: 5.0, epochs: 4, batch: 1"
5,5,6,2.61666,0.46154,1.76,0.625,ftjob-eSvP928XjAyFyB7Ir44G6DBP,"lr: 5.0, epochs: 4, batch: 1"
6,6,7,1.99033,0.59677,1.72422,0.62887,ftjob-eSvP928XjAyFyB7Ir44G6DBP,"lr: 5.0, epochs: 4, batch: 1"
7,7,8,0.66701,0.75,1.54679,0.63636,ftjob-eSvP928XjAyFyB7Ir44G6DBP,"lr: 5.0, epochs: 4, batch: 1"
8,8,9,1.60066,0.69444,2.01369,0.56604,ftjob-eSvP928XjAyFyB7Ir44G6DBP,"lr: 5.0, epochs: 4, batch: 1"
9,9,10,1.46292,0.73548,1.62429,0.66071,ftjob-eSvP928XjAyFyB7Ir44G6DBP,"lr: 5.0, epochs: 4, batch: 1"
10,10,11,1.78375,0.54286,1.66016,0.64948,ftjob-eSvP928XjAyFyB7Ir44G6DBP,"lr: 5.0, epochs: 4, batch: 1"
11,11,12,2.14033,0.5,1.47731,0.63636,ftjob-eSvP928XjAyFyB7Ir44G6DBP,"lr: 5.0, epochs: 4, batch: 1"
12,12,13,1.08059,0.76316,1.87508,0.58491,ftjob-eSvP928XjAyFyB7Ir44G6DBP,"lr: 5.0, epochs: 4, batch: 1"
13,13,14,0.53096,0.77778,1.62017,0.64286,ftjob-eSvP928XjAyFyB7Ir44G6DBP,"lr: 5.0, epochs: 4, batch: 1"
14,14,15,2.232,0.5,1.58463,0.63918,ftjob-eSvP928XjAyFyB7Ir44G6DBP,"lr: 5.0, epochs: 4, batch: 1"
15,15,16,1.66255,0.57895,1.44643,0.66667,ftjob-eSvP928XjAyFyB7Ir44G6DBP,"lr: 5.0, epochs: 4, batch: 1"
16,16,17,1.77964,0.61111,1.84323,0.54717,ftjob-eSvP928XjAyFyB7Ir44G6DBP,"lr: 5.0, epochs: 4, batch: 1"
17,17,18,0.92485,0.73554,1.5894,0.64286,ftjob-eSvP928XjAyFyB7Ir44G6DBP,"lr: 5.0, epochs: 4, batch: 1"
